"","College","Coach","Role","Race","year_start","year_end","duration"
"1","Air Force","Fisher DeBerry","Head Coach","White",2000,2006,7
"2","Air Force","Troy Calhoun","Head Coach","White",2007,2021,15
"3","Akron","Lee Owens","Head Coach","White",2000,2003,4
"4","Akron","J.D. Brookhart","Head Coach","White",2004,2009,6
"5","Akron","Rob Ianello","Head Coach","White",2010,2011,2
"6","Akron","Terry Bowden","Head Coach","White",2012,2017,6
"7","Akron","Tom Arth","Head Coach","White",2018,2021,4
"8","Alabama","Mike DuBose","Head Coach","White",2000,2000,1
"9","Alabama","Dennis Franchione","Head Coach","White",2001,2002,2
"10","Alabama","Mike Shula","Head Coach","White",2003,2006,4
"11","Alabama","Nick Saban","Head Coach","White",2007,2021,15
"12","Appalachian State","Scott Satterfield","Head Coach","White",2014,2018,5
"13","Appalachian State","Eliah Drinkwitz","Head Coach","White",2019,2019,1
"14","Appalachian State","Shawn Clark","Head Coach","White",2020,2021,2
"15","Arizona","Dick Tomey","Head Coach","White",2000,2000,1
"16","Arizona","John Mackovic","Head Coach","White",2001,2003,3
"17","Arizona","Mike Stoops","Head Coach","White",2004,2011,8
"18","Arizona","Rich Rodriguez","Head Coach","White",2012,2017,6
"19","Arizona","Kevin Sumlin","Head Coach","Black",2018,2020,3
"20","Arizona","Jedd Fisch","Head Coach","White",2021,2021,1
"21","Arizona State","Bruce Snyder","Head Coach","White",2000,2000,1
"22","Arizona State","Dirk Koetter","Head Coach","White",2001,2006,6
"23","Arizona State","Dennis Erickson","Head Coach","White",2007,2011,5
"24","Arizona State","Todd Graham","Head Coach","White",2012,2017,6
"25","Arizona State","Herm Edwards","Head Coach","Black",2018,2021,4
"26","Arkansas","Houston Nutt","Head Coach","White",2000,2007,8
"27","Arkansas","Bobby Petrino","Head Coach","White",2008,2011,4
"28","Arkansas","John L. Smith","Head Coach","White",2012,2012,1
"29","Arkansas","Bret Bielema","Head Coach","White",2013,2017,5
"30","Arkansas","Chad Morris","Head Coach","White",2018,2019,2
"31","Arkansas","Sam Pittman","Head Coach","White",2020,2021,2
"32","Arkansas State","Joe Hollis","Head Coach","White",2000,2001,2
"33","Arkansas State","Steve Roberts","Head Coach","White",2002,2010,9
"34","Arkansas State","Hugh Freeze","Head Coach","White",2011,2011,1
"35","Arkansas State","Gus Malzahn","Head Coach","White",2012,2012,1
"36","Arkansas State","Bryan Harsin","Head Coach","White",2013,2013,1
"37","Arkansas State","Blake Anderson","Head Coach","White",2014,2020,7
"38","Arkansas State","Butch Jones","Head Coach","White",2021,2021,1
"39","Army","Todd Berry","Head Coach","White",2000,2003,4
"40","Army","Bobby Ross","Head Coach","White",2004,2006,3
"41","Army","Stan Brock","Head Coach","White",2007,2008,2
"42","Army","Rich Ellerson","Head Coach","White",2009,2013,5
"43","Army","Jeff Monken","Head Coach","White",2014,2021,8
"44","Auburn","Tommy Tuberville","Head Coach","White",2000,2008,9
"45","Auburn","Gene Chizik","Head Coach","White",2009,2012,4
"46","Auburn","Gus Malzahn","Head Coach","White",2013,2020,8
"47","Auburn","Bryan Harsin","Head Coach","White",2021,2021,1
"48","Ball State","Bill Lynch","Head Coach","White",2000,2002,3
"49","Ball State","Brady Hoke","Head Coach","White",2003,2008,6
"50","Ball State","Stan Parrish","Head Coach","White",2009,2010,2
"51","Ball State","Pete Lembo","Head Coach","White",2011,2015,5
"52","Ball State","Mike Neu","Head Coach","White",2016,2021,6
"53","Baylor","Kevin Steele","Head Coach","White",2000,2002,3
"54","Baylor","Guy Morriss","Head Coach","White",2003,2007,5
"55","Baylor","Art Briles","Head Coach","White",2008,2015,8
"56","Baylor","Jim Grobe","Head Coach","White",2016,2016,1
"57","Baylor","Matt Rhule","Head Coach","White",2017,2019,3
"58","Baylor","Dave Aranda","Head Coach","Other",2020,2021,2
"59","Boise State","Dirk Koetter","Head Coach","White",2000,2000,1
"60","Boise State","Dan Hawkins","Head Coach","White",2001,2005,5
"61","Boise State","Chris Petersen","Head Coach","White",2006,2013,8
"62","Boise State","Bryan Harsin","Head Coach","White",2014,2020,7
"63","Boise State","Andy Avalos","Head Coach","White",2021,2021,1
"64","Boston College","Tom O'Brien","Head Coach","White",2000,2006,7
