College,Season,Coach,username,Coach,Role,Race
Air Force,2000,Chuck Petersen,chuck-petersen,Chuck Petersen,Offensive Coordinator/Quarterbacks Coach,White
Air Force,2000,Dean Campbell,dean-campbell,Dean Campbell,Running Backs Coach,#N/A
Air Force,2000,Dick Enga,dick-enga,Dick Enga,Tight Ends Coach,#N/A
Air Force,2000,Ed Warinner,ed-warinner,Ed Warinner,Offensive Line Coach,White
Air Force,2000,Fisher DeBerry,fisher-deberry,Fisher DeBerry,Head Coach,White
Air Force,2000,Jappy Oliver,jappy-oliver,Jappy Oliver,Defensive Line Coach,#N/A
Air Force,2000,Richard Bell,richard-bell,Richard Bell,Defensive Coordinator/Inside Linebackers Coach,White
Air Force,2000,Tim Horton,tim-horton,Tim Horton,Wide Receivers Coach,White
Air Force,2000,Tom Miller,tom-miller,Tom Miller,Outside Linebackers Coach/Special Teams Coordinator,White
Air Force,2000,Vic Shealy,vic-shealy,Vic Shealy,Defensive Backs Coach,White
Air Force,2001,Chuck Petersen,chuck-petersen,Chuck Petersen,Offensive Coordinator/Quarterbacks Coach,White
Air Force,2001,Dean Campbell,dean-campbell,Dean Campbell,Running Backs Coach,#N/A
Air Force,2001,Dick Enga,dick-enga,Dick Enga,Tight Ends Coach,#N/A
Air Force,2001,Ed Warinner,ed-warinner,Ed Warinner,Offensive Line Coach,White
Air Force,2001,Fisher DeBerry,fisher-deberry,Fisher DeBerry,Head Coach,White
Air Force,2001,Jappy Oliver,jappy-oliver,Jappy Oliver,Defensive Line Coach,#N/A
Air Force,2001,Richard Bell,richard-bell,Richard Bell,Defensive Coordinator/Inside Linebackers Coach,White
Air Force,2001,Tim Horton,tim-horton,Tim Horton,Wide Receivers Coach,White
Air Force,2001,Tom Miller,tom-miller,Tom Miller,Outside Linebackers Coach/Special Teams Coordinator,White
Air Force,2001,Vic Shealy,vic-shealy,Vic Shealy,Defensive Backs Coach,White
Air Force,2002,Chuck Petersen,chuck-petersen,Chuck Petersen,Offensive Coordinator/Quarterbacks Coach,White
Air Force,2002,Dean Campbell,dean-campbell,Dean Campbell,Running Backs Coach,#N/A
Air Force,2002,Dick Enga,dick-enga,Dick Enga,Tight Ends Coach,#N/A
Air Force,2002,Ed Warinner,ed-warinner,Ed Warinner,Offensive Line Coach,White
Air Force,2002,Fisher DeBerry,fisher-deberry,Fisher DeBerry,Head Coach,White
Air Force,2002,Jappy Oliver,jappy-oliver,Jappy Oliver,Defensive Line Coach,#N/A
Air Force,2002,Richard Bell,richard-bell,Richard Bell,Defensive Coordinator/Inside Linebackers Coach,White
Air Force,2002,Tim Horton,tim-horton,Tim Horton,Wide Receivers Coach,White
Air Force,2002,Tom Miller,tom-miller,Tom Miller,Outside Linebackers Coach/Special Teams Coordinator,White
Air Force,2002,Vic Shealy,vic-shealy,Vic Shealy,Defensive Backs Coach,White
Air Force,2003,Chuck Petersen,chuck-petersen,Chuck Petersen,Offensive Coordinator/Quarterbacks Coach,White
Air Force,2003,Dean Campbell,dean-campbell,Dean Campbell,Running Backs Coach,#N/A
Air Force,2003,Dick Enga,dick-enga,Dick Enga,Tight Ends Coach,#N/A
Air Force,2003,Fisher DeBerry,fisher-deberry,Fisher DeBerry,Head Coach,White
Air Force,2003,John Reagan,john-reagan,John Reagan,Offensive Line Coach,White
Air Force,2003,Richard Bell,richard-bell,Richard Bell,Defensive Coordinator/Inside Linebackers Coach,White
Air Force,2003,Ron Burton,ron-burton,Ron Burton,Defensive Line Coach,#N/A
Air Force,2003,Tim Horton,tim-horton,Tim Horton,Wide Receivers Coach,White
Air Force,2003,Tom Miller,tom-miller,Tom Miller,Outside Linebackers Coach/Special Teams Coordinator,White
Air Force,2003,Vic Shealy,vic-shealy,Vic Shealy,Defensive Backs Coach,White
Air Force,2004,Chuck Petersen,chuck-petersen,Chuck Petersen,Offensive Coordinator/Quarterbacks Coach,White
Air Force,2004,Dean Campbell,dean-campbell,Dean Campbell,Running Backs Coach,#N/A
Air Force,2004,Dick Enga,dick-enga,Dick Enga,Tight Ends Coach,#N/A
Air Force,2004,Fisher DeBerry,fisher-deberry,Fisher DeBerry,Head Coach,White
Air Force,2004,John Reagan,john-reagan,John Reagan,Offensive Line Coach,White
Air Force,2004,Richard Bell,richard-bell,Richard Bell,Defensive Coordinator/Inside Linebackers Coach,White
Air Force,2004,Ron Burton,ron-burton,Ron Burton,Defensive Line Coach,#N/A
Air Force,2004,Tim Horton,tim-horton,Tim Horton,Wide Receivers Coach,White
Air Force,2004,Tom Miller,tom-miller,Tom Miller,Outside Linebackers Coach/Special Teams Coordinator,White
Air Force,2004,Vic Shealy,vic-shealy,Vic Shealy,Defensive Backs Coach,White
Air Force,2005,Blane Morgan,blane-morgan,Blane Morgan,Wide Receivers Coach,White
