"","variable","betweenness","closeness","degree","eigen","Race","Race == ..."
"1","Fisher DeBerry",0,4.89360806701503e-07,2,4.24223219618465e-17,"White",TRUE
"2","Troy Calhoun",10,4.92110484709143e-07,7,0.0004724827432389,"White",TRUE
"3","Lee Owens",0,4.89705412811869e-07,3,8.43987614188121e-06,"White",TRUE
"4","J D  Brookhart",8,4.91422708053632e-07,5,0.000117474540839881,"White",NA
"5","Rob Ianello",0,4.897061322471e-07,3,6.06761589588097e-05,"White",TRUE
"6","Terry Bowden",0,4.9418468175742e-07,3,2.41254906227087e-05,"White",TRUE
"7","Tom Arth",0,4.90392475810165e-07,5,4.45167191645486e-06,"White",TRUE
"8","Mike DuBose",0,4.94889278421739e-07,3,2.12044545940543e-05,"White",TRUE
"9","Dennis Franchione",0,5.34361301982e-07,7,0.000720512525183263,"White",TRUE
"10","Mike Shula",0,4.89362243549716e-07,2,5.28102994876605e-06,"White",TRUE
"11","Nick Saban",0,6.14778916280022e-07,20,0.00297286650702892,"White",TRUE
"12","Scott Satterfield",18,4.91768048747983e-07,9,7.35365330773245e-05,"White",TRUE
"13","Eliah Drinkwitz",29,4.91769257930025e-07,5,0.00157242641778055,"White",TRUE
"14","Shawn Clark",6,4.897061322471e-07,4,1.92757242447598e-05,"White",TRUE
"15","Dick Tomey",0,4.97704834157284e-07,9,5.91914777544027e-05,"White",TRUE
"16","John Mackovic",0,4.89705892435121e-07,3,1.38588517210083e-05,"White",TRUE
"17","Mike Stoops",240,5.08134212473272e-07,10,0.015364266789731,"White",TRUE
"18","Rich Rodriguez",708,5.42714331457351e-07,10,0.00321034665622331,"White",TRUE
"19","Kevin Sumlin",90,5.25649321465573e-07,13,0.00168320971919195,"Black",TRUE
"20","Jedd Fisch",8,4.89363680406368e-07,4,4.78372644613982e-05,"White",TRUE
"21","Bruce Snyder",2,4.89363680406368e-07,3,2.03693928192968e-05,"White",TRUE
"22","Dirk Koetter",0,4.92103946132334e-07,3,4.90066625691582e-05,"White",TRUE
"23","Dennis Erickson",12,4.90046662243179e-07,5,0.000250802593689483,"White",TRUE
"24","Todd Graham",957.5,5.3813985501436e-07,21,0.00133538107123135,"White",TRUE
"25","Herm Edwards",0,4.99813819352291e-07,4,0.000242344230943562,"Black",TRUE
"26","Houston Nutt",0,5.27627916793078e-07,10,0.000170686229017089,"White",TRUE
"27","Bobby Petrino",44,5.04485379509216e-07,14,0.000343530274295791,"White",TRUE
"28","John L  Smith",0,4.9454321021845e-07,6,0.000163963906640472,"White",NA
"29","Bret Bielema",259,5.64178713762801e-07,14,0.00131875343321997,"White",TRUE
"30","Chad Morris",115,4.89704693378752e-07,6,0.00240908689861947,"White",TRUE
"31","Sam Pittman",0,4.99458836350814e-07,2,4.88460216803387e-05,"White",TRUE
"32","Joe Hollis",0,4.897061322471e-07,3,6.58301802903765e-06,"White",TRUE
"33","Steve Roberts",0,5.54840427892938e-07,4,3.38521739108051e-05,"White",TRUE
"34","Hugh Freeze",168,5.53142930473806e-07,9,0.0004054300083315,"White",TRUE
"35","Gus Malzahn",2853.5,5.2448973704707e-07,18,0.00134784630016459,"White",TRUE
"36","Bryan Harsin",211,5.14502805069293e-07,14,0.0136549497792982,"White",TRUE
"37","Blake Anderson",203.5,4.92461158357287e-07,11,0.000502319444699485,"White",TRUE
"38","Butch Jones",23,4.91766839571887e-07,8,0.000337616036706764,"White",TRUE
"39","Todd Berry",30,4.90389830491851e-07,7,0.000373035764239212,"White",TRUE
"40","Bobby Ross",0,4.89362722500996e-07,2,0,"White",TRUE
"41","Stan Brock",0,4.89363201453213e-07,2,0,"White",TRUE
"42","Rich Ellerson",3,4.89703734137884e-07,4,1.63028610532067e-05,"White",TRUE
"43","Jeff Monken",0,4.90734442982056e-07,6,0.000132686316942419,"White",TRUE
"44","Tommy Tuberville",0,5.77446554434154e-07,20,0.00105960945185831,"White",TRUE
"45","Gene Chizik",2282,5.29563967620341e-07,10,0.0010372799661025,"White",TRUE
"46","Bill Lynch",3,4.91767081406631e-07,7,0.000169110183937648,"White",TRUE
"47","Brady Hoke",165,5.03774784459959e-07,12,0.0016894547086319,"White",TRUE
"48","Stan Parrish",43,4.897061322471e-07,6,0.000246275764077161,"White",TRUE
"49","Pete Lembo",0,4.90048103121802e-07,4,7.92603073948628e-05,"White",TRUE
"50","Mike Neu",0,4.91422949550029e-07,5,1.42597374915277e-05,"White",TRUE
"51","Kevin Steele",129,4.91080745951653e-07,8,0.00244253864510175,"White",TRUE
"52","Guy Morriss",0,4.90391273389212e-07,5,0.000530412833877849,"White",TRUE
"53","Art Briles",0,4.93488176763517e-07,7,0.000446713685943767,"White",TRUE
"54","Jim Grobe",0,4.994653223724e-07,8,0.000742992712644425,"White",TRUE
"55","Matt Rhule",12,4.90046422097565e-07,5,0.000189068476644839,"White",TRUE
"56","Dave Aranda",1563.5,5.35956231670297e-07,8,0.00125993590999931,"Other",TRUE
"57","Dan Hawkins",0,5.42070057134184e-07,5,0.117656668131433,"White",TRUE
"58","Chris Petersen",87,5.22063445326384e-07,10,0.0449974001944667,"White",TRUE
"59","Andy Avalos",14,4.89706372059313e-07,5,0.00195409630776212,"White",TRUE
"60","Tom O Brien",0,4.95563468052262e-07,3,3.52263291135102e-05,"White",NA
"61","Jeff Jagodzinski",20,4.95588518799903e-07,3,4.28406697872213e-06,"White",TRUE
"62","Frank Spaziani",90,4.94546878840466e-07,7,3.68659895208888e-05,"White",TRUE
"63","Steve Addazio",55,5.04469346172414e-07,12,0.00123027438492483,"White",TRUE
"64","Jeff Hafley",7,4.89363201453213e-07,3,0.000166338363306535,"White",TRUE
"65","Gary Blackney",6,4.89021468042447e-07,2,7.20737059096562e-05,"White",TRUE
"66","Urban Meyer",0,6.30574674229359e-07,19,0.00613533988718029,"White",TRUE
"67","Gregg Brandon",95,4.9004858341656e-07,7,0.000225386216547918,"White",TRUE
"68","Dave Clawson",5,4.90387906641912e-07,6,0.00303244859389571,"White",TRUE
"69","Dino Babers",18,4.91766839571887e-07,9,0.000233438210757532,"Black",TRUE
"70","Mike Jinks",0,4.91424881529747e-07,5,0.000456398189987552,"Black",TRUE
"71","Scot Loeffler",64,4.89705652623378e-07,6,0.000333383102046062,"White",TRUE
"72","Craig Cirbus",0,4.89363680406368e-07,2,0,"White",TRUE
"73","Jim Hofher",0,4.90048343269064e-07,4,1.45076601884696e-06,"White",TRUE
"74","Turner Gill",0,4.95249811433634e-07,11,0.000555410896636435,"Black",TRUE
"75","Jeff Quinn",4,4.90048103121802e-07,5,0.000252318778585571,"White",TRUE
"76","Lance Leipold",0,4.89703494328254e-07,3,5.59900439715698e-17,"White",TRUE
"77","Maurice Linguist",0,4.90048823564292e-07,2,1.06076897646979e-05,"Black",TRUE
"78","LaVell Edwards",0,4.89363680406368e-07,2,0,"White",TRUE
"79","Gary Crowton",28,4.92109273848477e-07,8,0.00246427108284599,"White",TRUE
"80","Bronco Mendenhall",55,4.90387185202076e-07,7,0.000781232556588822,"White",TRUE
"81","Kalani Sitake",11,4.90047622827986e-07,6,0.000976674969503104,"Other",TRUE
"82","Tom Holmoe",0,4.897061322471e-07,3,4.71019503415005e-05,"White",TRUE
"83","Jeff Tedford",8,4.91768774256495e-07,10,0.00341279150751233,"White",TRUE
"84","Sonny Dykes",106.5,4.95597852078909e-07,12,0.00279875498428231,"White",TRUE
"85","Justin Wilcox",131,4.91421259080236e-07,8,0.00967138639302375,"White",TRUE
"86","Mike DeBord",28,4.91763212079278e-07,6,8.95448122466224e-05,"White",TRUE
"87","Brian Kelly",0,5.44209986688624e-07,16,0.000366508371913217,"White",TRUE
"88","Dan Enos",111,4.89704693378752e-07,6,0.000297054226860054,"White",TRUE
"89","John Bonamego",0,4.89705173000595e-07,3,1.52924046081415e-05,"White",TRUE
"90","Jim McElwain",41,4.96998131287026e-07,12,0.00109821971318672,"White",TRUE
"91","Brad Lambert",61.5,4.91080263631529e-07,8,0.00023739087436311,"White",TRUE
"92","Will Healy",0,4.90048823564292e-07,4,0,"White",TRUE
"93","Rick Minter",453,4.92117507818517e-07,10,0.000148737485746184,"White",TRUE
"94","Mark Dantonio",20,4.96261168357594e-07,9,0.00265383892650683,"White",TRUE
"95","Luke Fickell",8.5,4.90391513872931e-07,7,0.00207455127667198,"White",TRUE
