"","College","Season","Coach","username","Coach.1","Role","Race"
"1","Air Force",2000,"Richard Bell","richard-bell","Richard Bell","Defensive Coordinator/Inside Linebackers Coach","White"
"2","Air Force",2001,"Richard Bell","richard-bell","Richard Bell","Defensive Coordinator/Inside Linebackers Coach","White"
"3","Air Force",2002,"Richard Bell","richard-bell","Richard Bell","Defensive Coordinator/Inside Linebackers Coach","White"
"4","Air Force",2003,"Richard Bell","richard-bell","Richard Bell","Defensive Coordinator/Inside Linebackers Coach","White"
"5","Air Force",2004,"Richard Bell","richard-bell","Richard Bell","Defensive Coordinator/Inside Linebackers Coach","White"
"6","Air Force",2005,"Richard Bell","richard-bell","Richard Bell","Defensive Coordinator/Inside Linebackers Coach","White"
"7","Air Force",2006,"Richard Bell","richard-bell","Richard Bell","Defensive Coordinator/Inside Linebackers Coach","White"
"8","Air Force",2007,"Tim DeRuyter","tim-deruyter","Tim DeRuyter","Defensive Coordinator/Safeties Coach","White"
"9","Air Force",2008,"Tim DeRuyter","tim-deruyter","Tim DeRuyter","Defensive Coordinator","White"
"10","Air Force",2018,"John Rudzinski","john-rudzinski","John Rudzinski","Defensive Coordinator/Defensive Backs Coach","White"
"11","Air Force",2019,"John Rudzinski","john-rudzinski","John Rudzinski","Defensive Coordinator/Defensive Backs Coach","White"
"12","Air Force",2020,"John Rudzinski","john-rudzinski","John Rudzinski","Defensive Coordinator/Defensive Backs Coach","White"
"13","Air Force",2021,"John Rudzinski","john-rudzinski","John Rudzinski","Defensive Coordinator","White"
"14","Akron",2000,"Joe Palmisano","joe-palmisano","Joe Palmisano","Defensive Coordinator","White"
"15","Akron",2002,"Joe Tresey","joe-tresey","Joe Tresey","Defensive Coordinator/Defensive Backs Coach","White"
"16","Akron",2003,"Joe Tresey","joe-tresey","Joe Tresey","Defensive Coordinator/Defensive Backs Coach","White"
"17","Akron",2004,"Jim Fleming","jim-fleming","Jim Fleming","Defensive Coordinator/Safeties Coach","White"
"18","Akron",2005,"Jim Fleming","jim-fleming","Jim Fleming","Defensive Coordinator/Safeties Coach","White"
"19","Akron",2006,"Jim Fleming","jim-fleming","Jim Fleming","Defensive Coordinator/Safeties Coach","White"
"20","Akron",2007,"Jim Fleming","jim-fleming","Jim Fleming","Defensive Coordinator/Safeties Coach/Rovers Coach","White"
"21","Akron",2008,"Jim Fleming","jim-fleming","Jim Fleming","Defensive Coordinator/Safeties Coach/Rovers Coach","White"
"22","Akron",2009,"Jim Fleming","jim-fleming","Jim Fleming","Defensive Coordinator/Safeties Coach","White"
"23","Akron",2010,"Curt Mallory","curt-mallory","Curt Mallory","Defensive Coordinator/Defensive Backs Coach","White"
"24","Akron",2011,"Kevin Cosgrove","kevin-cosgrove","Kevin Cosgrove","Defensive Coordinator/Defensive Ends Coach","White"
