"","Coach","team","Race","net_ppa","net_sr","net_stuff","net_pass_sr"
"mean_ppa1","Aazaar Abdul-Rahim","UMass","Black",-0.218420382466928,-0.0861103940794925,0.112042832049176,-0.119286930826331
"mean_ppa2","Adam Fuller","Florida State","White",-0.105102981563486,-0.0239099044946605,0.0188203844921414,-0.049515910308876
"mean_ppa3","Adam Fuller","Marshall","White",0.0520268766333736,0.0501462428674029,-0.0299980165683076,0.05209225664943
"mean_ppa4","Adam Fuller","Memphis","White",0.0328298616189882,0.0270748153466222,-0.0106222528589839,0.0539226098779288
"mean_ppa5","Adam Waugh","Louisiana Monroe","White",-0.0789886309332371,0.00564747012691813,0.00313471645672031,0.000888652503957532
"mean_ppa6","Al Groh","Georgia Tech","White",-0.0147582290961475,-0.0245347387694291,0.0392551208178576,-0.0265089761115043
"mean_ppa7","Al Simmons","Colorado State","Black",0.0305774812144161,0.0504232738633529,0.0201913217966948,0.0459868027709703
"mean_ppa8","Alan Weddell","Houston","White",-0.109611294669535,-0.0439484846020141,0.0939705823364756,-0.0821692906648412
"mean_ppa9","Alex Grinch","Ohio State","White",-0.115780865655498,-0.0460170143850883,-0.00661215700182974,-0.0397321998868316
"mean_ppa10","Alex Grinch","Oklahoma","White",0.0575478563518219,0.0345746751586264,-0.0644407713847701,0.0245540823261522
"mean_ppa11","Alex Grinch","Washington State","White",-0.0113373501107823,0.0188965222498812,-0.0295393533576748,0.0294496532157739
"mean_ppa12","Andre Patterson","UTEP","Black",-0.00524068037095377,0.0194167319033499,0.00812601652320663,0.017356773571079
"mean_ppa13","Andrew Thacker","Georgia Tech","White",-0.0476519189230533,0.0275476690728161,-0.00578378735090773,0.022303259350841
"mean_ppa14","Andrew Thacker","Temple","White",-0.0130290572127097,-0.0344841480850063,0.0250373807228332,-0.0134448877224802
"mean_ppa15","Andy Avalos","Boise State","White",-0.0633131548607161,-0.0408395515132752,0.0492973205090417,-0.00503368531053078
"mean_ppa16","Andy Avalos","Oregon","White",0.0524246308700965,0.0185063148863145,-0.0067377566212872,0.0324605946236569
"mean_ppa17","Andy Buh","California","White",-0.0893100154902405,-0.0382653016039239,-0.0295055860409525,-0.09611693056549
"mean_ppa18","Andy Buh","Maryland","White",-0.0581633219133806,-0.0346799194173277,0.0283899294073766,-0.00302615025887509
"mean_ppa19","Andy Buh","Nevada","White",0.0277915108065046,0.00195143293572886,0.0569001509091765,0.0361716059473834
"mean_ppa20","Andy Buh","Rutgers","White",-0.0799208187206893,-0.0287462564459007,0.0140544385427732,-0.0459061079847793
"mean_ppa21","Andy Buh","Stanford","White",0.0147041797901316,-0.0118800459457389,-0.0165484666935458,-0.0289671958337626
"mean_ppa22","Anthony Campanile","Boston College","White",-0.0428752531507846,-0.0530560317544678,0.0668233397539978,-0.0399357834759647
"mean_ppa23","Anthony Poindexter","Connecticut","Black",-0.133635928109628,-0.0650733945863759,0.073679829479474,-0.0404078198734669
"mean_ppa24","Anthony Poindexter","Penn State","Black",0.028758445085854,-0.0141985167904274,0.0243085300307146,-0.00333104400449158
"mean_ppa25","Anthony Poindexter","Purdue","Black",0.0277740324677058,0.0219856797909749,0.00671343071588884,0.00552622878401055
"mean_ppa26","Archie McDaniel","Texas State","Black",-0.0976718094723439,-0.059675312996936,0.00962074436380672,-0.0667333274873552
"mean_ppa27","Art Kaufman","California","White",-0.203155083141963,-0.0743227689635397,0.0817593571983612,-0.063082825711204
"mean_ppa28","Art Kaufman","Cincinnati","White",-0.0286145635617766,-0.00203994045976003,0.0219699333312698,-0.00366303922609895
"mean_ppa29","Art Kaufman","North Carolina","White",-0.0264752852790894,-0.0116423880836234,-0.00123432905391982,-0.0341441089687934
"mean_ppa30","Art Kaufman","Texas Tech","White",0.0402132561566963,0.0232931781548865,-0.0327201379450932,0.0397388109186648
"mean_ppa31","Austin Armstrong","Southern Mississippi","White",-0.0814896766095825,-0.0103711626660207,0.0497672323342966,-0.0105190718262614
"mean_ppa32","Barry Odom","Arkansas","White",0.0812229183792694,0.00356766398895103,-0.00211323947332828,0.0059665683322207
"mean_ppa33","Barry Odom","Memphis","White",0.0490877423374007,0.0517601667391164,-0.0313622822165552,0.0589948422256717
"mean_ppa34","Barry Odom","Missouri","White",0.0416528121761673,0.0300993403740789,-0.0422124894317363,0.0398199259021661
"mean_ppa35","Barry Sacks","Nevada","White",0.110070164716137,0.0456879166556586,-0.0519251494072695,0.00522875816993462
"mean_ppa36","Ben Albert","Duke","Black",-0.109932988212644,-0.0266254943975152,0.0429367444423946,-0.0195735020644411
"mean_ppa37","Ben Needham","Kent State","White",-0.0707115167785788,0.00161117286905171,-0.0340689294896792,-0.00855429818466097
"mean_ppa38","Bert Watts","Fresno State","White",0.0642721581416672,0.0377953509046426,-0.000538343038264277,0.0184324892973096
