"","College","Coach","Role","Race","year_start","year_end"
"1","Air Force","Richard Bell","Defensive Coordinator/Inside Linebackers Coach","White",2000,2006
"2","Air Force","Tim DeRuyter","Defensive Coordinator/Safeties Coach","White",2007,2008
"3","Air Force","John Rudzinski","Defensive Coordinator/Defensive Backs Coach","White",2018,2021
"4","Akron","Joe Palmisano","Defensive Coordinator","White",2000,2000
"5","Akron","Joe Tresey","Defensive Coordinator/Defensive Backs Coach","White",2002,2018
"6","Akron","Jim Fleming","Defensive Coordinator/Safeties Coach","White",2004,2009
"7","Akron","Curt Mallory","Defensive Coordinator/Defensive Backs Coach","White",2010,2010
"8","Akron","Kevin Cosgrove","Defensive Coordinator/Defensive Ends Coach","White",2011,2011
"9","Akron","Chuck Amato","Defensive Coordinator/Linebackers Coach","White",2012,2016
"10","Akron","Matt Feeney","Defensive Coordinator/Inside Linebackers Coach","White",2019,2021
"11","Alabama","Ellis Johnson","Defensive Coordinator/Outside Linebackers Coach","White",2000,2000
"12","Alabama","Carl Torbush","Defensive Coordinator/Linebackers Coach","White",2001,2002
"13","Alabama","Joe Kines","Defensive Coordinator/Linebackers Coach","White",2003,2006
"14","Alabama","Kevin Steele","Defensive Coordinator","White",2007,2008
"15","Alabama","Kirby Smart","Defensive Coordinator/Inside Linebackers Coach","White",2008,2015
"16","Alabama","Jeremy Pruitt","Defensive Coordinator/Inside Linebackers Coach","White",2016,2017
"17","Alabama","Tosh Lupoi","Defensive Coordinator/Outside Linebackers Coach","White",2016,2018
"18","Alabama","Pete Golding","Defensive Coordinator/Inside Linebackers Coach","White",2018,2021
"19","Alabama","Charles Kelly","Defensive Coordinator/Safeties Coach","White",2019,2020
"20","Appalachian State","Nate Woody","Defensive Coordinator/Outside Linebackers Coach","White",2014,2017
"21","Appalachian State","Scot Sloan","Defensive Coordinator/Defensive Backs Coach","White",2017,2017
"22","Appalachian State","Bryan Brown","Defensive Coordinator/Cornerbacks Coach","Black",2018,2018
"23","Appalachian State","Dale Jones","Defensive Coordinator/Inside Linebackers Coach","White",2018,2021
"24","Appalachian State","Ted Roof","Defensive Coordinator/Inside Linebackers Coach","White",2019,2019
"25","Arizona","Duane Akina","Defensive Coordinator/Defensive Backs Coach","White",2000,2000
"26","Arizona","Rich Ellerson","Defensive Coordinator/Outside Linebackers Coach","White",2000,2000
"27","Arizona","Larry Mac Duff","Defensive Coordinator/Outside Linebackers Coach","White",2001,2002
"28","Arizona","Mark Stoops","Defensive Coordinator/Defensive Backs Coach","White",2004,2009
"29","Arizona","Greg Brown","Defensive Coordinator/Defensive Backs Coach","White",2010,2010
"30","Arizona","Tim Kish","Defensive Coordinator/Linebackers Coach","White",2010,2011
"31","Arizona","Jeff Casteel","Defensive Coordinator/Linebackers Coach","White",2012,2015
"32","Arizona","Marcel Yates","Defensive Coordinator/Linebackers Coach","Black",2016,2019
"33","Arizona","Paul Rhoads","Defensive Coordinator","White",2020,2020
"34","Arizona","Don Brown","Defensive Coordinator","White",2021,2021
"35","Arizona State","Phil Snow","Defensive Coordinator/Cornerbacks Coach","White",2000,2000
"36","Arizona State","Brent Guy","Defensive Coordinator/Linebackers Coach","White",2001,2004
"37","Arizona State","Bill Miller","Defensive Coordinator/Linebackers Coach","White",2005,2006
"38","Arizona State","Craig Bray","Defensive Coordinator/Linebackers Coach","White",2007,2011
"39","Arizona State","Paul Randolph","Defensive Coordinator/Defensive Line Coach","Black",2012,2013
"40","Arizona State","Ron West","Defensive Coordinator/Linebackers Coach","White",2012,2012
"41","Arizona State","Chris Ball","Defensive Coordinator/Safeties Coach","White",2013,2015
"42","Arizona State","Keith Patterson","Defensive Coordinator/Linebackers Coach","White",2015,2016
"43","Arizona State","Phil Bennett","Defensive Coordinator","White",2017,2017
"44","Arizona State","Danny Gonzales","Defensive Coordinator/Safeties Coach","White",2018,2018
"45","Arizona State","Marvin Lewis","Defensive Coordinator","Black",2020,2020
"46","Arkansas","Bobby Allen","Defensive Coordinator/Linebackers Coach","White",2000,2000
"47","Arkansas","John Thompson","Defensive Coordinator/Defensive Backs Coach","White",2000,2001
"48","Arkansas","Dave Wommack","Defensive Coordinator/Cornerbacks Coach","White",2002,2004
"49","Arkansas","Reggie Herring","Defensive Coordinator/Linebackers Coach","White",2005,2007
"50","Arkansas","Willy Robinson","Defensive Coordinator/Safeties Coach","White",2008,2011
"51","Arkansas","Paul Haynes","Defensive Coordinator/Defensive Backs Coach","Black",2012,2012
"52","Arkansas","Chris Ash","Defensive Coordinator/Defensive Backs Coach","White",2013,2013
"53","Arkansas","Robb Smith","Defensive Coordinator/Defensive Backs Coach","White",2014,2016
"54","Arkansas","Paul Rhoads","Defensive Coordinator/Defensive Backs Coach","White",2017,2017
"55","Arkansas","John Chavis","Defensive Coordinator/Linebackers Coach","White",2018,2019
"56","Arkansas","Barry Odom","Defensive Coordinator/Safeties Coach","White",2020,2020
"57","Arkansas State","Leon Burtnett","Defensive Coordinator","White",2000,2001
"58","Arkansas State","Jack Curtis","Defensive Coordinator/Safeties Coach","White",2002,2008
"59","Arkansas State","Kevin Corless","Defensive Coordinator/Linebackers Coach","White",2002,2010
"60","Arkansas State","Dave Wommack","Defensive Coordinator","White",2011,2011
"61","Arkansas State","John Thompson","Defensive Coordinator/Linebackers Coach","White",2012,2012
"62","Arkansas State","Joe Cauthen","Defensive Coordinator/Linebackers Coach","White",2014,2018
"63","Arkansas State","David Duggan","Defensive Coordinator/Linebackers Coach","White",2019,2019
"64","Army","Dennis Therrell","Defensive Coordinator/Defensive Backs Coach","White",2000,2003
"65","Army","John Mumford","Defensive Coordinator/Defensive Line Coach","White",2004,2008
"66","Army","Chris Smeland","Defensive Coordinator/Safeties Coach","White",2009,2013
"67","Army","Payam Saadat","Defensive Coordinator/Linebackers Coach","White",2009,2013
"68","Army","Jay Bateman","Defensive Coordinator","White",2014,2018
"69","Army","John Loose","Defensive Coordinator","White",2019,2019
"70","Army","Greg Gasparato","Defensive Coordinator/Safeties Coach","White",2020,2020
"71","Army","Nate Woody","Defensive Coordinator","White",2020,2021
"72","Army","Shiel Wood","Safeties Coach/Defensive Coordinator","White",2021,2021
"73","Auburn","John Lovett","Defensive Coordinator/Defensive Backs Coach","White",2000,2001
"74","Auburn","Gene Chizik","Defensive Coordinator/Defensive Backs Coach","White",2002,2004
"75","Auburn","David Gibbs","Defensive Coordinator","White",2005,2005
"76","Auburn","Will Muschamp","Defensive Coordinator/Defensive Backs Coach","White",2006,2015
"77","Auburn","Paul Rhoads","Defensive Coordinator/Defensive Backs Coach","White",2008,2008
"78","Auburn","Ted Roof","Defensive Coordinator/Linebackers Coach","White",2009,2011
"79","Auburn","Brian VanGorder","Defensive Coordinator","White",2012,2012
"80","Auburn","Ellis Johnson","Defensive Coordinator/Linebackers Coach","White",2013,2014
"81","Auburn","Charlie Harbison","Defensive Coordinator/Safeties Coach","Black",2014,2014
"82","Auburn","Kevin Steele","Defensive Coordinator","White",2016,2020
"83","Auburn","Derek Mason","Defensive Coordinator","Black",2021,2021
"84","Ball State","Bob Bartolomeo","Defensive Coordinator/Inside Linebackers Coach","White",2000,2002
"85","Ball State","Mark Smith","Defensive Coordinator/Linebackers Coach","White",2003,2008
"86","Ball State","Doug Graber","Defensive Coordinator","White",2009,2009
