"","Coach","Team","Race","Net_PPA","Net_SR","Net_Stuff_Rate","Net_Pass_SR","Net_FPI","Tenure","total_sr","total_stuffs","total_pass_sr","total_ppa"
"1","Al Golden","Miami","White",-0.0137290608793541,-0.0527623227565894,0.0874862788487334,-0.0444053145161536,-2.10666666666667,5,-0.263811613782947,0.437431394243667,-0.222026572580768,-0.0686453043967705
"2","Al Golden","Temple","White",0.11008374219836,0.0876904737819268,-0.0151270316620566,0.0579154428776914,16.68,5,0.438452368909634,-0.0756351583102828,0.289577214388457,0.550418710991802
"3","Andy Avalos","Boise State","White",-0.0153176530761553,-0.0124380593137732,0.0313063995611937,-0.00431211911245305,-1.3,1,-0.0124380593137732,0.0313063995611937,-0.00431211911245305,-0.0153176530761553
"4","Art Briles","Baylor","White",0.214719060449882,0.105170214906219,-0.0995785308465759,0.0500828246426289,19.5666666666667,8,0.841361719249756,-0.796628246772607,0.400662597141031,1.71775248359906
"5","Art Briles","Houston","White",-0.046847752927897,-0.0016755573773849,0.0691009718645843,0.0292897376081014,4.4,2,-0.00335111475476979,0.138201943729169,0.0585794752162028,-0.093695505855794
"6","Barry Odom","Missouri","White",0.0734225241062499,0.0720422313592711,-0.04888837740504,0.10695052159859,-5.65833333333333,4,0.288168925437084,-0.19555350962016,0.427802086394361,0.293690096424999
"7","Bill Blankenship","Tulsa","White",-0.102170494503932,-0.0430258938450505,0.00827431210476617,-0.0484434793524487,-6.36666666666667,4,-0.172103575380202,0.0330972484190647,-0.193773917409795,-0.40868197801573
"8","Bill Clark","UAB","White",0.191785158259741,0.124714073774581,-0.0368793041010823,0.141226234588538,NA,6,0.748284442647485,-0.221275824606494,0.847357407531228,1.15071094955844
"9","Bill Cubit","Illinois","White",0.0722459890999855,0.0211484695713305,-0.0903207511821289,0.00997685660912628,7.76666666666667,1,0.0211484695713305,-0.0903207511821289,0.00997685660912628,0.0722459890999855
"10","Bill Cubit","Western Michigan","White",0.0665090375132709,0.0464077313380711,-0.0191981389721805,0.0373064128516177,NA,7,0.324854119366498,-0.134386972805263,0.261144889961324,0.465563262592896
"11","Bill Doba","Washington State","White",-0.064441980321126,-0.0329979592838233,0.0698947617960006,-0.0119210116628536,NA,1,-0.0329979592838233,0.0698947617960006,-0.0119210116628536,-0.064441980321126
"12","Bill Lynch","Indiana","White",0.000148697323062247,-0.0090188350143422,0.0311926718655619,0.0142366261950997,-0.6,4,-0.0360753400573688,0.124770687462248,0.0569465047803988,0.000594789292248987
"13","Bill O'Brien","Penn State","White",0.022796520811952,0.00749455454812831,-0.0296549723324306,-0.018544173877146,-3.05,2,0.0149891090962566,-0.0593099446648612,-0.037088347754292,0.0455930416239041
"14","Bill Stewart","West Virginia","White",-0.0577523807189145,-0.0117253816828222,0.0190852817845804,0.00972364977903695,-6.3,3,-0.0351761450484665,0.0572558453537413,0.0291709493371108,-0.173257142156743
"15","Billy Napier","Louisiana","White",0.165269405797325,0.0612672700321485,0.0359926059798289,0.128228145376168,14.975,4,0.245069080128594,0.143970423919315,0.512912581504671,0.661077623189301
"16","Blake Anderson","Arkansas State","White",-0.0209289856533836,-0.0215256565563187,0.0018768641785149,-0.0281808506745665,-2.74761904761905,7,-0.150679595894231,0.0131380492496043,-0.197265954721966,-0.146502899573685
"17","Blake Anderson","Utah State","White",0.0488072505865495,-0.00978921974486824,-0.0473804631816483,0.0246124105430258,2.13333333333333,1,-0.00978921974486824,-0.0473804631816483,0.0246124105430258,0.0488072505865495
"18","Bo Pelini","Nebraska","White",0.0810807098125199,0.0316540327461163,0.0657082764345404,0.0286095542760837,4.60952380952381,7,0.221578229222814,0.459957935041783,0.200266879932586,0.567564968687639
"19","Bob Davie","New Mexico","White",0.0443336528509991,0.0734665268575869,-0.0418705914894722,0.0224701835411082,9.6,8,0.587732214860695,-0.334964731915778,0.179761468328866,0.354669222807993
"20","Bob Diaco","Connecticut","White",-0.0881743931812179,-0.0576271172083065,0.0801554618612634,-0.062579944092866,NA,3,-0.172881351624919,0.24046638558379,-0.187739832278598,-0.264523179543654
"21","Bob Toledo","Tulane","White",-0.0737281757007596,-0.0312540115114708,0.0350889659519177,-0.0187679163734064,-5.02,5,-0.156270057557354,0.175444829759588,-0.0938395818670318,-0.368640878503798
"22","Bobby Hauck","UNLV","White",-0.0613473144229893,-0.00737143530941814,-0.0525784784654299,-0.0497653276402844,-6.04666666666667,5,-0.0368571765470907,-0.26289239232715,-0.248826638201422,-0.306736572114946
"23","Bobby Petrino","Arkansas","White",0.0730744949600037,-0.00958683465543236,0.0567402870007568,0.030707767098386,2.34166666666667,4,-0.0383473386217295,0.226961148003027,0.122831068393544,0.292297979840015
"24","Bobby Petrino","Western Kentucky","White",0.0708576081362205,0.0883858818814954,0.0377907661472631,0.12826695915498,NA,1,0.0883858818814954,0.0377907661472631,0.12826695915498,0.0708576081362205
"25","Bobby Wilder","Old Dominion","White",-0.138171043696304,-0.100823436758125,0.0656029603223107,-0.060353090758032,NA,6,-0.604940620548753,0.393617761933864,-0.362118544548192,-0.829026262177825
"26","Brady Hoke","Michigan","White",0.0431886892549707,-0.00190587586480245,0.0502303227808667,0.0326138777177774,10.9083333333333,4,-0.00762350345920981,0.200921291123467,0.13045551087111,0.172754757019883
"27","Brady Hoke","San Diego State","White",0.142250065739311,0.0989675552485379,-0.0881949333975862,0.0852078317276239,11.2205128205128,13,1.28657821823099,-1.14653413416862,1.10770181245911,1.84925085461104
"28","Brent Brennan","San José State","White",-0.0600043350373297,-0.0214359992727619,0.0476082087610908,-0.062206291766647,NA,5,-0.10717999636381,0.238041043805454,-0.311031458833235,-0.300021675186648
"29","Bret Bielema","Arkansas","White",-0.0433889241878463,-0.0420935513831499,0.000801132329853294,-0.0542213529304724,-5.24666666666667,5,-0.21046775691575,0.00400566164926647,-0.271106764652362,-0.216944620939231
"30","Bret Bielema","Illinois","White",0.0561115151646354,0.030249544336632,0.00490096756278455,0.0351332368972589,4.3,1,0.030249544336632,0.00490096756278455,0.0351332368972589,0.0561115151646354
"31","Bret Bielema","Wisconsin","White",0.13667037313471,0.0910655829401883,-0.128909930771692,0.0449996699770941,2.18571428571429,7,0.637459080581318,-0.902369515401841,0.314997689839659,0.956692611942972
"32","Brian Kelly","Central Michigan","White",-0.0355785588395412,-0.0691090523088616,0.097560806998499,-0.0512149672384291,NA,1,-0.0691090523088616,0.097560806998499,-0.0512149672384291,-0.0355785588395412
"33","Brian Kelly","Cincinnati","White",0.0485800330522638,0.0168684722503589,0.0130355425034803,0.010333337618398,13.2666666666667,3,0.0506054167510766,0.0391066275104408,0.031000012855194,0.145740099156791
"34","Brian Kelly","Notre Dame","White",0.133601122477568,0.0608481808059352,-0.0481981101668364,0.0501263386552956,13.1666666666667,12,0.730178169671223,-0.578377322002037,0.601516063863548,1.60321346973081
"35","Brian Polian","Nevada","White",-0.163895982079631,-0.134114183159578,0.0221636194540545,-0.157111054888594,-10.2583333333333,4,-0.53645673263831,0.088654477816218,-0.628444219554378,-0.655583928318522
"36","Bronco Mendenhall","BYU","White",-0.00313777469215415,0.0110728257741429,-0.0228853970104448,-0.0155262384291657,-2.34583333333333,8,0.0885826061931434,-0.183083176083559,-0.124209907433326,-0.0251021975372332
