"","College","Season","Coach","username","Coach.1","Role","Race"
"1","Air Force",2000,"Fisher DeBerry","fisher-deberry","Fisher DeBerry","Head Coach","White"
"2","Air Force",2001,"Fisher DeBerry","fisher-deberry","Fisher DeBerry","Head Coach","White"
"3","Air Force",2002,"Fisher DeBerry","fisher-deberry","Fisher DeBerry","Head Coach","White"
"4","Air Force",2003,"Fisher DeBerry","fisher-deberry","Fisher DeBerry","Head Coach","White"
"5","Air Force",2004,"Fisher DeBerry","fisher-deberry","Fisher DeBerry","Head Coach","White"
"6","Air Force",2005,"Fisher DeBerry","fisher-deberry","Fisher DeBerry","Head Coach","White"
"7","Air Force",2006,"Fisher DeBerry","fisher-deberry","Fisher DeBerry","Head Coach","White"
"8","Air Force",2007,"Troy Calhoun","troy-calhoun","Troy Calhoun","Head Coach","White"
"9","Air Force",2008,"Troy Calhoun","troy-calhoun","Troy Calhoun","Head Coach","White"
"10","Air Force",2009,"Troy Calhoun","troy-calhoun","Troy Calhoun","Head Coach","White"
"11","Air Force",2010,"Troy Calhoun","troy-calhoun","Troy Calhoun","Head Coach","White"
"12","Air Force",2011,"Troy Calhoun","troy-calhoun","Troy Calhoun","Head Coach","White"
"13","Air Force",2012,"Troy Calhoun","troy-calhoun","Troy Calhoun","Head Coach","White"
"14","Air Force",2013,"Troy Calhoun","troy-calhoun","Troy Calhoun","Head Coach","White"
"15","Air Force",2014,"Troy Calhoun","troy-calhoun","Troy Calhoun","Head Coach","White"
"16","Air Force",2015,"Troy Calhoun","troy-calhoun","Troy Calhoun","Head Coach","White"
"17","Air Force",2016,"Troy Calhoun","troy-calhoun","Troy Calhoun","Head Coach","White"
"18","Air Force",2017,"Troy Calhoun","troy-calhoun","Troy Calhoun","Head Coach","White"
"19","Air Force",2018,"Troy Calhoun","troy-calhoun","Troy Calhoun","Head Coach","White"
"20","Air Force",2019,"Troy Calhoun","troy-calhoun","Troy Calhoun","Head Coach","White"
"21","Air Force",2020,"Troy Calhoun","troy-calhoun","Troy Calhoun","Head Coach","White"
"22","Air Force",2021,"Troy Calhoun","troy-calhoun","Troy Calhoun","Head Coach","White"
"23","Akron",2000,"Lee Owens","lee-owens","Lee Owens","Head Coach","White"
"24","Akron",2001,"Lee Owens","lee-owens","Lee Owens","Head Coach","White"
"25","Akron",2002,"Lee Owens","lee-owens","Lee Owens","Head Coach","White"
"26","Akron",2003,"Lee Owens","lee-owens","Lee Owens","Head Coach","White"
"27","Akron",2004,"J.D. Brookhart","jd-brookhart","J.D. Brookhart","Head Coach","White"
"28","Akron",2005,"J.D. Brookhart","jd-brookhart","J.D. Brookhart","Head Coach","White"
"29","Akron",2006,"J.D. Brookhart","jd-brookhart","J.D. Brookhart","Head Coach","White"
"30","Akron",2007,"J.D. Brookhart","jd-brookhart","J.D. Brookhart","Head Coach","White"
"31","Akron",2008,"J.D. Brookhart","jd-brookhart","J.D. Brookhart","Head Coach","White"
"32","Akron",2009,"J.D. Brookhart","jd-brookhart","J.D. Brookhart","Head Coach","White"
"33","Akron",2010,"Rob Ianello","rob-ianello","Rob Ianello","Head Coach","White"
"34","Akron",2011,"Rob Ianello","rob-ianello","Rob Ianello","Head Coach","White"
"35","Akron",2012,"Terry Bowden","terry-bowden","Terry Bowden","Head Coach/Offensive Coordinator","White"
"36","Akron",2013,"Terry Bowden","terry-bowden","Terry Bowden","Head Coach","White"
"37","Akron",2014,"Terry Bowden","terry-bowden","Terry Bowden","Head Coach","White"
"38","Akron",2015,"Terry Bowden","terry-bowden","Terry Bowden","Head Coach","White"
"39","Akron",2016,"Terry Bowden","terry-bowden","Terry Bowden","Head Coach","White"
"40","Akron",2017,"Terry Bowden","terry-bowden","Terry Bowden","Head Coach","White"
"41","Akron",2018,"Tom Arth","tom-arth","Tom Arth","Head Coach","White"
"42","Akron",2019,"Tom Arth","tom-arth","Tom Arth","Head Coach/Quarterbacks Coach","White"
"43","Akron",2020,"Tom Arth","tom-arth","Tom Arth","Head Coach/Quarterbacks Coach","White"
"44","Akron",2021,"Tom Arth","tom-arth","Tom Arth","Head Coach","White"
"45","Alabama",2000,"Mike DuBose","mike-dubose","Mike DuBose","Head Coach","White"
"46","Alabama",2001,"Dennis Franchione","dennis-franchione","Dennis Franchione","Head Coach","White"
"47","Alabama",2002,"Dennis Franchione","dennis-franchione","Dennis Franchione","Head Coach","White"
"48","Alabama",2003,"Mike Shula","mike-shula","Mike Shula","Head Coach","White"
"49","Alabama",2004,"Mike Shula","mike-shula","Mike Shula","Head Coach","White"
"50","Alabama",2005,"Mike Shula","mike-shula","Mike Shula","Head Coach","White"
"51","Alabama",2006,"Mike Shula","mike-shula","Mike Shula","Head Coach","White"
"52","Alabama",2007,"Nick Saban","nick-saban","Nick Saban","Head Coach","White"
"53","Alabama",2008,"Nick Saban","nick-saban","Nick Saban","Head Coach","White"
"54","Alabama",2009,"Nick Saban","nick-saban","Nick Saban","Head Coach","White"
"55","Alabama",2010,"Nick Saban","nick-saban","Nick Saban","Head Coach","White"
"56","Alabama",2011,"Nick Saban","nick-saban","Nick Saban","Head Coach","White"
"57","Alabama",2012,"Nick Saban","nick-saban","Nick Saban","Head Coach","White"
"58","Alabama",2013,"Nick Saban","nick-saban","Nick Saban","Head Coach","White"
