"","Coach","Race.x","Race.y","years","total_years","percent_of_years_POC","coordinators","total_coordinators","percent_of_coords_POC","years_rank","coords_rank","rank"
"1","Al Groh","White","Non-white",5,18,0.277777777777778,2,8,0.25,83,101,91
"2","Art Briles","White","Non-white",3,27,0.111111111111111,1,9,0.111111111111111,159,187.5,181
"3","Barry Odom","White","Non-white",5,9,0.555555555555556,2,4,0.5,15.5,24,15.5
"4","Bill Callahan","White","Non-white",3,8,0.375,1,3,0.333333333333333,52.5,63.5,56
"5","Bill Clark","White","Non-white",1,11,0.0909090909090909,1,4,0.25,169.5,101,137.5
"6","Bill Cubit","White","Non-white",3,13,0.230769230769231,2,9,0.222222222222222,104,119,109
"7","Bill Snyder","White","Non-white",2,48,0.0416666666666667,2,15,0.133333333333333,194.5,180.5,193.5
"8","Blake Anderson","White","Non-white",1,17,0.0588235294117647,1,8,0.125,191.5,183.5,193.5
"9","Bob Davie","White","Non-white",2,20,0.1,2,8,0.25,165.5,101,135.5
"10","Bob Diaco","White","Non-white",6,11,0.545454545454545,2,4,0.5,18,24,17
"11","Bob Stoops","White","Non-white",4,48,0.0833333333333333,1,10,0.1,175,192.5,190
"12","Bob Toledo","White","Non-white",3,17,0.176470588235294,2,10,0.2,133.5,132.5,134
"13","Bobby Hauck","White","Non-white",1,10,0.1,1,6,0.166666666666667,165.5,154.5,162
"14","Bobby Petrino","White","Non-white",7,31,0.225806451612903,3,15,0.2,108,132.5,116
"15","Bobby Ross","White","Non-white",3,6,0.5,1,2,0.5,29.5,24,23
"16","Bobby Wallace","White","Non-white",1,12,0.0833333333333333,1,4,0.25,175,101,140
"17","Bobby Wilder","White","Non-white",1,14,0.0714285714285714,1,5,0.2,182,132.5,157
"18","Brad Lambert","White","Non-white",1,9,0.111111111111111,1,5,0.2,159,132.5,148.5
"19","Brady Hoke","White","Non-white",1,29,0.0344827586206897,1,12,0.0833333333333333,200,198,199.5
"20","Brent Brennan","White","Non-white",2,7,0.285714285714286,1,3,0.333333333333333,80,63.5,70
"21","Bret Bielema","White","Non-white",1,28,0.0357142857142857,1,13,0.0769230769230769,199,199,199.5
"22","Brian Kelly","White","Non-white",5,36,0.138888888888889,3,19,0.157894736842105,148,164.5,155
"23","Bronco Mendenhall","White","Non-white",3,30,0.1,1,7,0.142857142857143,165.5,173.5,175
"24","Bryan Harsin","White","Non-white",4,22,0.181818181818182,3,13,0.230769230769231,127,115,117.5
"25","Buddy Teevens","White","Non-white",3,8,0.375,2,6,0.333333333333333,52.5,63.5,56
"26","Butch Davis","White","Non-white",3,21,0.142857142857143,1,10,0.1,145.5,192.5,173
"27","Butch Jones","White","Non-white",6,25,0.24,3,11,0.272727272727273,98.5,86,92
"28","Cam Cameron","White","Non-white",2,4,0.5,1,2,0.5,29.5,24,23
"29","Carl Pelini","White","Non-white",1,4,0.25,1,3,0.333333333333333,93,63.5,76.5
"30","Chad Morris","White","Non-white",3,10,0.3,1,4,0.25,75.5,101,85
"31","Charlie Strong","Black","Non-white",11,20,0.55,4,10,0.4,17,40.5,29
"32","Charlie Weis","White","Non-white",6,12,0.5,2,7,0.285714285714286,29.5,83,53
"33","Chris Ault","White","Non-white",2,19,0.105263157894737,1,9,0.111111111111111,162,187.5,185
"34","Chris Petersen","White","Non-white",8,34,0.235294117647059,3,10,0.3,101,80,90
"35","Chuck Amato","White","Non-white",1,12,0.0833333333333333,1,7,0.142857142857143,175,173.5,182.5
"36","Clay Helton","White","Non-white",3,12,0.25,1,4,0.25,93,101,96.5
"37","Curtis Johnson","Black","Non-white",5,12,0.416666666666667,2,4,0.5,42.5,24,32
"38","D.J. Durkin","White","Non-white",1,5,0.2,1,3,0.333333333333333,117,63.5,87.5
