"","College","Coach","Role","Race","year_start","year_end"
"1","Air Force","Fisher DeBerry","Head Coach","White",2000,2006
"2","Air Force","Troy Calhoun","Head Coach","White",2007,2021
"3","Akron","Lee Owens","Head Coach","White",2000,2003
"4","Akron","J.D. Brookhart","Head Coach","White",2004,2009
"5","Akron","Rob Ianello","Head Coach","White",2010,2011
"6","Akron","Terry Bowden","Head Coach/Offensive Coordinator","White",2012,2017
"7","Akron","Tom Arth","Head Coach","White",2018,2021
"8","Alabama","Mike DuBose","Head Coach","White",2000,2000
"9","Alabama","Dennis Franchione","Head Coach","White",2001,2002
"10","Alabama","Mike Shula","Head Coach","White",2003,2006
"11","Alabama","Nick Saban","Head Coach","White",2007,2021
"12","Appalachian State","Scott Satterfield","Head Coach","White",2014,2018
"13","Appalachian State","Eliah Drinkwitz","Head Coach/Offensive Coordinator","White",2019,2019
"14","Appalachian State","Shawn Clark","Head Coach","White",2020,2021
"15","Arizona","Dick Tomey","Head Coach","White",2000,2000
"16","Arizona","John Mackovic","Head Coach","White",2001,2003
"17","Arizona","Mike Stoops","Head Coach","White",2004,2011
"18","Arizona","Rich Rodriguez","Head Coach","White",2012,2017
"19","Arizona","Kevin Sumlin","Head Coach","Black",2018,2020
"20","Arizona","Jedd Fisch","Head Coach","White",2021,2021
"21","Arizona State","Bruce Snyder","Head Coach","White",2000,2000
"22","Arizona State","Dirk Koetter","Head Coach/Offensive Coordinator","White",2001,2006
"23","Arizona State","Dennis Erickson","Head Coach","White",2007,2011
"24","Arizona State","Todd Graham","Head Coach","White",2012,2017
"25","Arizona State","Herm Edwards","Head Coach","Black",2018,2021
"26","Arkansas","Houston Nutt","Head Coach/Offensive Coordinator","White",2000,2007
"27","Arkansas","Bobby Petrino","Head Coach","White",2008,2011
"28","Arkansas","John L. Smith","Head Coach","White",2012,2012
"29","Arkansas","Bret Bielema","Head Coach","White",2013,2017
"30","Arkansas","Chad Morris","Head Coach","White",2018,2019
"31","Arkansas","Sam Pittman","Head Coach","White",2020,2021
"32","Arkansas State","Joe Hollis","Head Coach","White",2000,2001
"33","Arkansas State","Steve Roberts","Head Coach","White",2002,2010
