"","from","to","weight"
"1","Al Golden","George DeLeone",2
"2","Al Golden","James Coley",3
"3","Al Golden","Jedd Fisch",2
"4","Al Golden","Mark D'Onofrio",10
"5","Al Golden","Matt Rhule",3
"6","Al Groh","Al Golden",5
"7","Al Groh","Bill Musgrave",2
"8","Al Groh","Bob Diaco",1
"9","Al Groh","Bob Pruett",1
"10","Al Groh","Gregg Brandon",1
"11","Al Groh","Mike Groh",3
"12","Al Groh","Mike London",2
"13","Al Groh","Ron Prince",3
"14","Andy Avalos","Kane Ioane",1
"15","Andy Avalos","Spencer Danielson",1
"16","Andy Avalos","Tim Plough",1
"17","Andy McCollum","Blake Anderson",2
"18","Andy McCollum","Darin Hinshaw",3
"19","Andy McCollum","Larry Fedora",2
"20","Andy McCollum","Mark Criner",1
"21","Andy McCollum","Miles Aldridge",1
"22","Andy McCollum","Steve Campbell",1
"23","Andy McCollum","Steve Davis",3
"24","Art Briles","Alan Weddell",2
"25","Art Briles","Brian Norwood",3
"26","Art Briles","Kendal Briles",1
"27","Art Briles","Phil Bennett",5
"28","Art Briles","Philip Montgomery",8
"29","Art Briles","Randy Clements",5
"30","Art Briles","Ron Harris",3
"31","Barry Alvarez","Bret Bielema",2
"32","Barry Alvarez","Brian White",6
"33","Barry Alvarez","Kevin Cosgrove",4
"34","Barry Alvarez","Paul Chryst",1
"35","Barry Odom","DeMontie Cross",2
"36","Barry Odom","Derek Dooley",2
"37","Barry Odom","Josh Heupel",2
"38","Barry Odom","Ryan Walters",3
"39","Bill Blankenship","Brent Guy",4
"40","Bill Blankenship","Denver Johnson",1
"41","Bill Blankenship","Greg Peterson",3
"42","Bill Callahan","Jay Norvell",3
"43","Bill Callahan","Kevin Cosgrove",4
"44","Bill Callahan","Shawn Watson",1
"45","Bill Clark","Bryant Vincent",4
"46","Bill Clark","David Reeves",5
"47","Bill Clark","Duwan Walker",1
"48","Bill Clark","Les Koenning",1
"49","Bill Cubit","Bill Miller",1
"50","Bill Cubit","Dave Cohen",2
"51","Bill Cubit","George McDonald",2
"52","Bill Cubit","Mike Phair",1
"53","Bill Cubit","Rich Nagy",1
"54","Bill Cubit","Ryan Cubit",1
"55","Bill Cubit","Scott Shafer",2
"56","Bill Cubit","Steve Morrison",2
"57","Bill Cubit","Tim Banks",1
"58","Bill Doba","Mike Levenseller",5
"59","Bill Doba","Robb Akey",4
"60","Bill Lynch","Bob Bartolomeo",3
"61","Bill Lynch","Brian George",4
"62","Bill Lynch","Joe Palcic",4
"63","Bill Lynch","Matt Canada",4
"64","Bill Lynch","Rich Spisak",1
"65","Bill Lynch","Ted Huber",1
"66","Bill O'Brien","John Butler",1
"67","Bill O'Brien","Ted Roof",1
"68","Bill Snyder","Andre Coleman",1
"69","Bill Snyder","Blake Seiler",1
"70","Bill Snyder","Bob Elliott",4
"71","Bill Snyder","Bret Bielema",2
"72","Bill Snyder","Brian Norwood",1
"73","Bill Snyder","Charlie Dickey",1
"74","Bill Snyder","Chris Cosh",3
"75","Bill Snyder","Collin Klein",1
"76","Bill Snyder","Dana Dimel",9
"77","Bill Snyder","Del Miller",11
"78","Bill Snyder","Greg Peterson",2
"79","Bill Snyder","Phil Bennett",2
"80","Bill Snyder","Ron Hudson",3
"81","Bill Snyder","Tom Hayes",6
"82","Bill Snyder","Vic Koenning",1
"83","Bill Stewart","Jeff Casteel",3
"84","Bill Stewart","Jeff Mullen",3
"85","Billy Napier","Michael Desormeaux",1
"86","Billy Napier","Patrick Toney",2
"87","Billy Napier","Rob Sale",3
"88","Billy Napier","Ron Roberts",2
"89","Billy Napier","Tim Leger",1
"90","Blake Anderson","Anthony Tucker",1
"91","Blake Anderson","Buster Faulkner",3
"92","Blake Anderson","David Duggan",1
"93","Blake Anderson","Ephraim Banda",1
"94","Blake Anderson","Glen Elarbee",2
"95","Blake Anderson","Joe Cauthen",5
"96","Blake Anderson","Keith Heckendorf",2
"97","Blake Anderson","Walt Bell",2
"98","Bo Pelini","Carl Pelini",4
"99","Bo Pelini","John Papuchis",3
"100","Bo Pelini","Shawn Watson",3
"101","Bo Pelini","Tim Beck",4
"102","Bob Davie","Bob DeBesse",6
"103","Bob Davie","Calvin Magee",1
"104","Bob Davie","Greg Mattison",2
"105","Bob Davie","Jeff Mills",2
"106","Bob Davie","Joe Dailey",1
"107","Bob Davie","Jordan Peterson",1
"108","Bob Davie","Kevin Cosgrove",5
"109","Bob Davie","Kevin Rogers",2
"110","Bob Diaco","Anthony Poindexter",3
"111","Bob Diaco","Frank Verducci",2
"112","Bob Diaco","Mike Cummings",3
"113","Bob Diaco","Vincent Brown",3
"114","Bob Pruett","Bill Wilt",3
"115","Bob Pruett","Ed Zaunbrecher",2
"116","Bob Pruett","Kevin Kelly",2
"117","Bob Pruett","Larry Kueck",1
"118","Bob Simmons","Del Miller",1
"119","Bob Simmons","Mike Cassity",1
"120","Bob Stoops","Bill Bedenbaugh",1
"121","Bob Stoops","Bo Pelini",1
"122","Bob Stoops","Brent Venables",12
"123","Bob Stoops","Chuck Long",4
"124","Bob Stoops","Jay Norvell",4
"125","Bob Stoops","Josh Heupel",4
"126","Bob Stoops","Kevin Wilson",9
"127","Bob Stoops","Lincoln Riley",2
"128","Bob Stoops","Mark Mangino",2
"129","Bob Stoops","Mike Stoops",9
"130","Bob Toledo","Al Borges",1
"131","Bob Toledo","Bobby Field",1
"132","Bob Toledo","Dan Dodd",4
"133","Bob Toledo","Gary Bernardi",1
"134","Bob Toledo","Greg Davis Jr.",1
"135","Bob Toledo","Kelly Skipper",2
"136","Bob Toledo","O'Neill Gilbert",1
"137","Bob Toledo","Phil Snow",2
"138","Bob Toledo","Steve Stanard",3
"139","Bob Toledo","Thom Kaumeyer",1
"140","Bobby Bowden","Jeff Bowden",6
"141","Bobby Bowden","Jimbo Fisher",3
"142","Bobby Bowden","Mark Richt",1
"143","Bobby Bowden","Mickey Andrews",8
"144","Bobby Hauck","Brent Myers",1
"145","Bobby Hauck","J.D. Williams",1
"146","Bobby Hauck","Kraig Paulson",2
"147","Bobby Hauck","Rob Phenicie",2
"148","Bobby Hauck","Tim Hauck",2
"149","Bobby Hauck","Timm Rosenbach",2
"150","Bobby Johnson","Bruce Fowler",8
"151","Bobby Johnson","Jamie Bryant",1
"152","Bobby Johnson","Ted Cain",8
"153","Bobby Keasler","Mike Collins",1
"154","Bobby Keasler","Roger Carr",1
"155","Bobby Keasler","Stan Humphries",1
"156","Bobby Keasler","Tommy Condell",1
"157","Bobby Petrino","Brian VanGorder",1
"158","Bobby Petrino","Chris Klenakis",1
"159","Bobby Petrino","Garrick McGee",4
"160","Bobby Petrino","Kevin Wolthausen",1
"161","Bobby Petrino","Lonnie Galloway",3
"162","Bobby Petrino","Mike Cassity",3
"163","Bobby Petrino","Mike Gillhamer",1
"164","Bobby Petrino","Mike Summers",2
"165","Bobby Petrino","Nick Holt",1
"166","Bobby Petrino","Paul Petrino",6
"167","Bobby Petrino","Peter Sirmon",1
"168","Bobby Petrino","Todd Grantham",3
"169","Bobby Petrino","Willy Robinson",4
"170","Bobby Ross","John Mumford",3
"171","Bobby Ross","Kevin Ross",3
"172","Bobby Wallace","Charlie Fisher",2
"173","Bobby Wallace","Dave Brock",3
"174","Bobby Wallace","Raymond Monica",6
"175","Bobby Wallace","Willie Slater",1
"176","Bobby Wilder","Brian Scott",6
"177","Bobby Wilder","David Blackwell",1
"178","Bobby Wilder","Grady Brown",1
"179","Bobby Wilder","Rich Nagy",5
"180","Bobby Wilder","Ron Whitcomb",1
"181","Bobby Williams","Bill Miller",3
"182","Bobby Williams","Morris Watts",2
"183","Brad Lambert","Chip West",1
"184","Brad Lambert","Glenn Spencer",1
"185","Brad Lambert","Jeff Mullen",3
"186","Brad Lambert","Matt Wallerstedt",3
"187","Brad Lambert","Shane Montgomery",1
