"","Coach","Race"
"1","Fisher DeBerry","White"
"2","Troy Calhoun","White"
"3","Lee Owens","White"
"4","J.D. Brookhart","White"
"5","Rob Ianello","White"
"6","Terry Bowden","White"
"7","Tom Arth","White"
"8","Mike DuBose","White"
"9","Dennis Franchione","White"
"10","Mike Shula","White"
"11","Nick Saban","White"
"12","Scott Satterfield","White"
"13","Eliah Drinkwitz","White"
"14","Shawn Clark","White"
"15","Dick Tomey","White"
"16","John Mackovic","White"
"17","Mike Stoops","White"
"18","Rich Rodriguez","White"
"19","Kevin Sumlin","Black"
"20","Jedd Fisch","White"
"21","Bruce Snyder","White"
"22","Dirk Koetter","White"
"23","Dennis Erickson","White"
"24","Todd Graham","White"
"25","Herm Edwards","Black"
"26","Houston Nutt","White"
"27","Bobby Petrino","White"
"28","John L. Smith","White"
"29","Bret Bielema","White"
"30","Chad Morris","White"
"31","Sam Pittman","White"
"32","Joe Hollis","White"
"33","Steve Roberts","White"
"34","Hugh Freeze","White"
"35","Gus Malzahn","White"
"36","Bryan Harsin","White"
"37","Blake Anderson","White"
"38","Butch Jones","White"
"39","Todd Berry","White"
"40","Bobby Ross","White"
"41","Stan Brock","White"
"42","Rich Ellerson","White"
"43","Jeff Monken","White"
"44","Tommy Tuberville","White"
"45","Gene Chizik","White"
"46","Bill Lynch","White"
"47","Brady Hoke","White"
"48","Stan Parrish","White"
"49","Pete Lembo","White"
"50","Mike Neu","White"
"51","Kevin Steele","White"
"52","Guy Morriss","White"
"53","Art Briles","White"
"54","Jim Grobe","White"
"55","Matt Rhule","White"
"56","Dave Aranda","Other"
"57","Dan Hawkins","White"
"58","Chris Petersen","White"
"59","Andy Avalos","White"
"60","Tom O'Brien","White"
"61","Jeff Jagodzinski","White"
"62","Frank Spaziani","White"
"63","Steve Addazio","White"
"64","Jeff Hafley","White"
"65","Gary Blackney","White"
"66","Urban Meyer","White"
"67","Gregg Brandon","White"
"68","Dave Clawson","White"
"69","Dino Babers","Black"
"70","Mike Jinks","Black"
"71","Scot Loeffler","White"
"72","Craig Cirbus","White"
"73","Jim Hofher","White"
"74","Turner Gill","Black"
"75","Jeff Quinn","White"
"76","Lance Leipold","White"
"77","Maurice Linguist","Black"
"78","LaVell Edwards","White"
"79","Gary Crowton","White"
"80","Bronco Mendenhall","White"
"81","Kalani Sitake","Other"
"82","Tom Holmoe","White"
"83","Jeff Tedford","White"
"84","Sonny Dykes","White"
"85","Justin Wilcox","White"
"86","Mike DeBord","White"
"87","Brian Kelly","White"
"88","Dan Enos","White"
"89","John Bonamego","White"
"90","Jim McElwain","White"
"91","Brad Lambert","White"
"92","Will Healy","White"
"93","Rick Minter","White"
"94","Mark Dantonio","White"
"95","Luke Fickell","White"
"96","Tommy Bowden","White"
"97","Dabo Swinney","White"
"98","Joe Moglia","White"
"99","Jamey Chadwell","White"
"100","Gary Barnett","White"
"101","Jon Embree","Black"
"102","Mike MacIntyre","White"
"103","Mel Tucker","Black"
"104","Karl Dorrell","Black"
"105","Sonny Lubick","White"
"106","Steve Fairchild","White"
"107","Mike Bobo","White"
"108","Carl Franks","White"
"109","Ted Roof","White"
"110","David Cutcliffe","White"
"111","Steve Logan","White"
"112","John Thompson","White"
"113","Skip Holtz","White"
"114","Ruffin McNeill","Black"
"115","Scottie Montgomery","Black"
"116","Mike Houston","White"
"117","Jeff Woodruff","White"
"118","Jeff Genyk","White"
"119","Ron English","Black"
"120","Chris Creighton","White"
"121","Howard Schnellenberger","White"
"122","Carl Pelini","White"
"123","Charlie Partridge","White"
"124","Lane Kiffin","White"
"125","Willie Taggart","Black"
"126","Don Strock","White"
"127","Mario Cristobal","Other"
"128","Ron Turner","White"
"129","Butch Davis","White"
"130","Steve Spurrier","White"
"131","Ron Zook","White"
"132","Will Muschamp","White"
"133","Dan Mullen","White"
"134","Bobby Bowden","White"
"135","Jimbo Fisher","White"
"136","Mike Norvell","White"
"137","Pat Hill","White"
"138","Tim DeRuyter","White"
"139","Kalen DeBoer","White"
"140","Jim Donnan","White"
"141","Mark Richt","White"
"142","Kirby Smart","White"
"143","Willie Fritz","White"
"144","Tyson Summers","White"
"145","Chad Lunsford","White"
"146","Trent Miles","Black"
"147","Shawn Elliott","White"
"148","George O'Leary","White"
"149","Chan Gailey","White"
"150","Paul Johnson","White"
"151","Geoff Collins","White"
"152","June Jones","White"
"153","Greg McMackin","White"
"154","Norm Chow","Other"
"155","Nick Rolovich","White"
"156","Dana Dimel","White"
"157","Tony Levine","White"
"158","Tom Herman","White"
"159","Major Applewhite","White"
"160","Dana Holgorsen","White"
"161","Tim Beckman","White"
"162","Bill Cubit","White"
"163","Lovie Smith","Black"
"164","Cam Cameron","White"
"165","Gerry DiNardo","White"
"166","Terry Hoeppner","White"
"167","Kevin Wilson","White"
"168","Tom Allen","White"
"169","Kirk Ferentz","White"
"170","Dan McCarney","White"
"171","Paul Rhoads","White"
"172","Matt Campbell","White"
"173","Terry Allen","White"
"174","Mark Mangino","White"
"175","Charlie Weis","White"
"176","David Beaty","White"
"177","Les Miles","White"
"178","Bill Snyder","White"
"179","Ron Prince","Black"
"180","Chris Klieman","White"
"181","Dean Pees","White"
"182","Doug Martin","White"
"183","Darrell Hazell","Black"
"184","Paul Haynes","Black"
"185","Sean Lewis","White"
"186","Hal Mumme","White"
"187","Rich Brooks","White"
"188","Joker Phillips","Black"
"189","Mark Stoops","White"
"190","Jerry Baldwin","Black"
"191","Rickey Bustle","White"
"192","Mark Hudspeth","White"
"193","Billy Napier","White"
