"","College","Season","Coach","username","Coach.1","Role","Race"
"1","Air Force",2000,"Chuck Petersen","chuck-petersen","Chuck Petersen","Offensive Coordinator/Quarterbacks Coach","White"
"2","Air Force",2001,"Chuck Petersen","chuck-petersen","Chuck Petersen","Offensive Coordinator/Quarterbacks Coach","White"
"3","Air Force",2002,"Chuck Petersen","chuck-petersen","Chuck Petersen","Offensive Coordinator/Quarterbacks Coach","White"
"4","Air Force",2003,"Chuck Petersen","chuck-petersen","Chuck Petersen","Offensive Coordinator/Quarterbacks Coach","White"
"5","Air Force",2004,"Chuck Petersen","chuck-petersen","Chuck Petersen","Offensive Coordinator/Quarterbacks Coach","White"
"6","Air Force",2005,"Chuck Petersen","chuck-petersen","Chuck Petersen","Offensive Coordinator/Quarterbacks Coach","White"
"7","Air Force",2006,"Chuck Petersen","chuck-petersen","Chuck Petersen","Offensive Coordinator/Quarterbacks Coach","White"
"8","Air Force",2007,"Clay Hendrix","clay-hendrix","Clay Hendrix","Offensive Coordinator/Offensive Line Coach","White"
"9","Air Force",2007,"Tim Horton","tim-horton","Tim Horton","Offensive Coordinator","White"
"10","Air Force",2008,"Blane Morgan","blane-morgan","Blane Morgan","Offensive Coordinator/Quarterbacks Coach","White"
"11","Air Force",2008,"Clay Hendrix","clay-hendrix","Clay Hendrix","Offensive Coordinator/Offensive Line Coach","White"
"12","Air Force",2009,"Blane Morgan","blane-morgan","Blane Morgan","Offensive Coordinator/Quarterbacks Coach","White"
"13","Air Force",2009,"Clay Hendrix","clay-hendrix","Clay Hendrix","Offensive Coordinator/Offensive Line Coach","White"
"14","Air Force",2009,"Mike Thiessen","mike-thiessen","Mike Thiessen","Offensive Coordinator/Wide Receivers Coach","White"
"15","Air Force",2010,"Blane Morgan","blane-morgan","Blane Morgan","Offensive Coordinator/Quarterbacks Coach","White"
"16","Air Force",2010,"Mike Thiessen","mike-thiessen","Mike Thiessen","Offensive Coordinator/Wide Receivers Coach","White"
"17","Air Force",2011,"Blane Morgan","blane-morgan","Blane Morgan","Offensive Coordinator/Quarterbacks Coach","White"
"18","Air Force",2012,"Blane Morgan","blane-morgan","Blane Morgan","Offensive Coordinator/Quarterbacks Coach","White"
"19","Air Force",2013,"Blane Morgan","blane-morgan","Blane Morgan","Offensive Coordinator/Quarterbacks Coach","White"
"20","Air Force",2014,"Mike Thiessen","mike-thiessen","Mike Thiessen","Offensive Coordinator/Wide Receivers Coach","White"
"21","Air Force",2015,"Mike Thiessen","mike-thiessen","Mike Thiessen","Offensive Coordinator/Quarterbacks Coach","White"
"22","Air Force",2016,"Mike Thiessen","mike-thiessen","Mike Thiessen","Offensive Coordinator/Quarterbacks Coach","White"
"23","Air Force",2017,"Mike Thiessen","mike-thiessen","Mike Thiessen","Offensive Coordinator/Quarterbacks Coach","White"
"24","Air Force",2018,"Mike Thiessen","mike-thiessen","Mike Thiessen","Offensive Coordinator/Quarterbacks Coach","White"
"25","Air Force",2019,"Mike Thiessen","mike-thiessen","Mike Thiessen","Offensive Coordinator/Quarterbacks Coach","White"
"26","Air Force",2020,"Mike Thiessen","mike-thiessen","Mike Thiessen","Offensive Coordinator/Quarterbacks Coach","White"
