"","Coach","team","Race","net_ppa","net_sr","net_stuff","net_pass_sr"
"mean_ppa1","A.J. Milwee","Akron","White",0.101398921597912,0.0179047809271867,0.00937668047518736,0.039654674230633
"mean_ppa2","A.J. Pratt","Kent State","White",-0.0935906225575941,-0.0287774520125171,0.0870568280559534,-0.00579457999017519
"mean_ppa3","A.J. Ricker","SMU","White",0.109110504857284,0.0383666393333357,-0.0201028093835616,0.0393128050724057
"mean_ppa4","Aaron Keen","Eastern Michigan","White",0.0392756624960593,0.0118130246344849,-0.00327662197156914,0.0437350633479567
"mean_ppa5","Aaron Price","Hawai'i","White",-0.0408810297879417,-0.0219551408502431,-0.0471472751832665,-0.0138862814694291
"mean_ppa6","Aaron Price","UTEP","White",-0.0429035860663559,0.00100543488166471,-0.0570923410710783,-0.0227042299829343
"mean_ppa7","Aaron Roderick","BYU","White",0.0854265950021735,0.0178985705359522,-0.0240056195977084,0.00403790377183871
"mean_ppa8","Aaron Roderick","Utah","White",0.0391653596876316,-0.0255092068513841,0.0037448477435805,-0.0344772211002299
"mean_ppa9","Adrian Mayes","Texas State","Black",-0.108702543914637,-0.0588711019824255,0.0512567518190188,-0.0127098529710705
"mean_ppa10","Al Borges","Michigan","White",0.0354462408424928,0.0165319738866345,0.0442795201644089,0.0532769980145097
"mean_ppa11","Al Borges","San Diego State","White",0.0489753752044585,0.027277416804169,-0.0140959583348832,0.0539552836600047
"mean_ppa12","Al Borges","San José State","White",0.0251642046735404,-0.00857004202892231,-0.00574704087720285,-0.04371701115633
"mean_ppa13","Al Borges","UT San Antonio","White",-0.150722572713303,-0.0512848112287878,0.00242798994062898,-0.0611299963814302
"mean_ppa14","Alex Atkins","Charlotte","Black",0.171485347803589,0.0716271146932651,-0.0199410349831941,0.101834158609813
"mean_ppa15","Alex Golesh","Tennessee","White",0.168157642137173,0.0779817352400377,-0.117033606438161,0.040451539816192
"mean_ppa16","Alex Golesh","UCF","White",-0.016468079006486,0.0023737150601596,-0.0262744849765153,-0.0236817090685666
"mean_ppa17","Alex Wood","Buffalo","Black",0.0695768965566909,0.0151078608873236,0.00207604249333226,0.00706785379810243
"mean_ppa18","Allen Rudolph","Ohio","White",-0.0781850916345002,-0.0350457556487493,-0.00116243245928785,-0.0226616740996814
"mean_ppa19","Andre Coleman","Kansas State","Black",-0.0688353378163953,-0.0365431731841931,-0.00165524201446765,0.00741444604372954
"mean_ppa20","Andrew Breiner","Florida International","White",-0.0433882820417433,-0.0260151379440982,-0.0166138781960786,-0.0337865006100547
"mean_ppa21","Andrew Sowder","Kent State","White",0.276816251868524,0.134080427823956,-0.0573052677761537,0.15870720851599
"mean_ppa22","Andrew Sowder","San José State","White",-0.147471274077108,-0.0495130972510684,0.00284495824557596,-0.0642698783163163
"mean_ppa23","Andy Kotelnicki","Buffalo","White",0.105668389043225,0.0276649991715184,-0.0290462768045973,0.0256694501388097
"mean_ppa24","Andy Kotelnicki","Kansas","White",0.0359074376548868,0.0225389551748237,-0.0846797336747192,0.0458216925506645
"mean_ppa25","Andy Ludwig","California","White",-0.0286761167926351,-0.0222436476347767,0.00855768620807754,-0.0105844622881994
"mean_ppa26","Andy Ludwig","San Diego State","White",0.0382289151439256,0.0179793290052825,-0.0377551993955883,-0.0115726857168124
"mean_ppa27","Andy Ludwig","Vanderbilt","White",0.110194865422492,0.0101521424424781,-0.00420583481523715,0.0106045005297485
"mean_ppa28","Andy Ludwig","Wisconsin","White",0.0440806801920558,0.00616592836808222,0.0114006455870733,-0.0471264687919938
"mean_ppa29","Andy Padron","Bowling Green","White",-0.123301987147004,-0.0533193121428989,0.0134817598402725,-0.0615080030236024
"mean_ppa30","Angelo Mirando","UMass","White",-0.242012292476169,-0.138769769186682,0.0232798281485202,-0.11666098648775
"mean_ppa31","Anthony Tucker","UCF","Black",-0.016468079006486,0.0023737150601596,-0.0262744849765153,-0.0236817090685666
"mean_ppa32","Anthony Tucker","Utah State","Black",0.0454392601075139,-0.0227518411997185,-0.00669423224235302,0.0417082163066194
"mean_ppa33","Barney Cotton","UNLV","White",0.137220213420862,0.0260100719805406,0.00303999704714344,-0.0097689899587593
"mean_ppa34","Beau Baldwin","California","White",-0.150399368602155,-0.0751544306208128,0.0179660487684644,-0.0968397263868744
"mean_ppa35","Ben McDaniels","Rutgers","White",0.119837386420855,0.0357370191170909,-0.0470588006287549,-0.00373886895121373
"mean_ppa36","Bill Bedenbaugh","Arizona","White",0.0857923897233149,0.047617643002024,-0.0307381466601911,0.075171718093097
"mean_ppa37","Bill Bedenbaugh","Oklahoma","White",0.203274454713235,0.0603116823133836,0.00275644889948723,0.096117600739795
"mean_ppa38","Bill Cubit","Illinois","White",0.0645835793515201,0.0171603297841894,0.0338335137635771,0.0418204741989239
"mean_ppa39","Bill Kenney","Western Michigan","White",0.0274744725776234,0.0223601049306954,-0.0604708091641673,0.00978754072216115
"mean_ppa40","Bill Lazor","Virginia","White",0.0784990640084986,0.0382734481377357,-0.0783735283101205,0.0338429988225485
"mean_ppa41","Bill Legg","Florida International","White",0.0416384201113549,0.0485443626874881,-0.0697713405608558,0.0454830273703076
"mean_ppa42","Bill Legg","Marshall","White",0.108015804641116,0.0290489054674491,-0.0208730638800634,0.0704536295767052
"mean_ppa43","Bill Legg","Purdue","White",-0.0367471661377882,0.00421594699873162,0.0335753553196032,0.00300097229697321
"mean_ppa44","Bill Musgrave","California","White",0.0364876718509025,-0.00382857280796395,-0.00968111141412747,-0.0144901337291797
"mean_ppa45","Bill O'Brien","Alabama","White",-0.125030793349668,-0.0704453931891746,0.0288610557082934,-0.0871553238438564
"mean_ppa46","Billy Gonzales","Florida","?",0.142842371916927,0.0642487478092554,0.00422717803053232,0.0952016716036536
"mean_ppa47","Billy Gonzales","Illinois","?",-0.0764893410394392,-0.0145447852664807,0.0385802428096332,-0.0064108175297819
"mean_ppa48","Billy Gonzales","Mississippi State","?",0.170017004051816,0.0471808967576262,-0.0494191991392862,0.0203658274197989
"mean_ppa49","Billy Lynch","Rice","White",0.0818393472975821,0.00356234679743189,-0.00888451758057274,0.00535123092821077
"mean_ppa50","Billy Napier","Arizona State","White",0.0305830271617039,0.0160812601957124,-0.0238017772072979,0.010035643648912
"mean_ppa51","Billy Napier","Clemson","White",-0.0633621097925848,-0.031286571817315,0.00928469046921201,-0.0145569218284
"mean_ppa52","Blake Anderson","Louisiana","White",-0.0285375685212438,0.0333028577761155,-0.0403337757867375,-0.0128671097675722
"mean_ppa53","Blake Anderson","North Carolina","White",0.0557643574015833,0.0399139908285679,-0.0279545277131049,0.0452736619517663
"mean_ppa54","Blake Anderson","Southern Mississippi","White",8.3125860718597e-05,0.0178629561398416,0.00247285451418122,0.0330462658475675
"mean_ppa55","Blake Miller","Memphis","White",-0.0841185846487023,-0.0889686853427943,0.0669324376780052,-0.0252637594419818
"mean_ppa56","Blane Morgan","Air Force","White",0.0202167801792201,0.00692250595751037,-0.0185817515865614,-0.0134134091891162
"mean_ppa57","Bo Graham","Hawai'i","White",-0.0492544907831619,-0.0325152221320709,0.00491010292391697,-0.0566671961873211
"mean_ppa58","Bob Cole","Northern Illinois","White",0.0785935904495382,0.0130678460163553,-0.0194983084597452,-0.0065363763368701
"mean_ppa59","Bob Cole","Wyoming","White",-0.0247032913448584,0.00916721837741996,-0.118606758163327,-0.019651206288762
"mean_ppa60","Bob Connelly","UTEP","White",-0.0409359711110535,0.0106727987523167,-0.0645466130916039,-0.0200027549566619
"mean_ppa61","Bob DeBesse","Georgia Southern","White",0.0126298307909677,0.0101808022221493,-0.0158858911468933,-0.0226116279307769
"mean_ppa62","Bob DeBesse","New Mexico","White",0.192755017692577,0.058980267785388,-0.0398755037832054,-0.00978969743318475
"mean_ppa63","Bob Toledo","New Mexico","White",0.017384265004687,0.00881788579614268,-0.0778566010797305,-0.021193812672002
"mean_ppa64","Bob Toledo","San Diego State","White",0.0162564915086393,-0.00963221432447015,-0.00962965741248428,-0.0139582386047807
"mean_ppa65","Bodie Reeder","North Texas","White",-0.0157020246146678,-0.0129428747392178,-0.00728767894307014,0.00910001718021775
"mean_ppa66","Bodie Reeder","Utah State","White",-0.16278566451616,-0.107105817984845,0.0474021197487358,-0.139100528065502
"mean_ppa67","Brad Cornelsen","Memphis","White",0.173639520297554,0.0613609513859883,-0.0152451256576232,0.0761252420041499
"mean_ppa68","Brad Cornelsen","Virginia Tech","White",0.106093610730551,0.0363249584343968,-0.0321533832503327,0.02319686836201
"mean_ppa69","Brad Glenn","Georgia State","White",0.0630819841535428,0.0450840882251226,-0.0519881015280393,0.0206266281884004
"mean_ppa70","Brad Salem","Michigan State","White",-0.0343195966996998,-0.00470509501082589,0.026177211642652,0.00403916808760862
"mean_ppa71","Brandon Doman","BYU","White",-0.0354232775918974,-0.0332884947356973,0.0203051309803966,-0.0390957279292714
"mean_ppa72","Brandon Jones","Houston","Black",-0.0515442308854887,-0.0172119907886833,-0.00307199030050304,-0.044690875480791
"mean_ppa73","Brennan Carroll","Arizona","White",-0.138475547720855,-0.039380643424098,0.000883986001020243,-0.0280719999442563
"mean_ppa74","Brent Davis","Army","White",0.117537297382142,0.0166007226631075,0.00150694973822099,0.0182932832979109
"mean_ppa75","Brent Dearmon","Kansas","White",-0.153171458598538,-0.0738086956643233,0.0605650320115046,-0.0695437355038473
"mean_ppa76","Brent Dearmon","Middle Tennessee","White",-0.0658737196605189,-0.0449805282635625,-0.0205336171583311,-0.0433495214329475
"mean_ppa77","Brent Key","UCF","White",-0.138796617865843,-0.0827070401988846,0.0203946309294125,-0.0943000598680112
"mean_ppa78","Brent Myers","UNLV","White",0.0197040525929006,0.000128543572926243,-0.0444685555030414,-0.0195566618278176
"mean_ppa79","Brent Pease","Boise State","White",-0.0340798383083803,-0.00183608449817524,-0.00175173437827336,0.0491417664967998
"mean_ppa80","Brent Pease","Florida","White",-0.0181374759674703,-0.0184449012564032,-0.0168525552867548,-0.00364927938873616
"mean_ppa81","Brent Pease","UTEP","White",-0.0177748015677495,-0.0250307642811734,0.015806755001083,-0.0238934094513776
"mean_ppa82","Brent Vigen","Wyoming","White",0.0544906479671958,-0.0157604553032317,0.00305486306418787,-0.0370821246692803
"mean_ppa83","Brett Elliott","Texas State","White",-0.108702543914637,-0.0588711019824255,0.0512567518190188,-0.0127098529710705
"mean_ppa84","Brian Brohm","Purdue","White",0.0875648960257925,0.0378239210637506,0.0255631162225245,0.0663439498080647
