"","College","Coach","Role","Race","year_start","year_end"
"1","Air Force","Chuck Petersen","Offensive Coordinator/Quarterbacks Coach","White",2000,2006
"2","Air Force","Clay Hendrix","Offensive Coordinator/Offensive Line Coach","White",2007,2009
"3","Air Force","Tim Horton","Offensive Coordinator","White",2007,2007
"4","Air Force","Blane Morgan","Offensive Coordinator/Quarterbacks Coach","White",2008,2013
"5","Air Force","Mike Thiessen","Offensive Coordinator/Wide Receivers Coach","White",2009,2021
"6","Akron","Paul Winters","Offensive Coordinator/Running Backs Coach","Black",2000,2003
"7","Akron","Jim Pry","Offensive Coordinator/Quarterbacks Coach","White",2004,2005
"8","Akron","Joe Moorhead","Offensive Coordinator/Quarterbacks Coach","White",2006,2008
"9","Akron","Shane Montgomery","Offensive Coordinator/Tight Ends Coach","White",2009,2009
"10","Akron","John Latina","Offensive Coordinator/Tight Ends Coach","White",2010,2011
"11","Akron","A.J. Milwee","Offensive Coordinator/Quarterbacks Coach","White",2013,2018
"12","Akron","Tommy Zagorski","Offensive Coordinator/Offensive Line Coach","White",2019,2020
"13","Akron","Bryan Gasser","Offensive Coordinator/Wide Receivers Coach","White",2021,2021
"14","Alabama","Charlie Stubbs","Offensive Coordinator/Quarterbacks Coach","White",2000,2000
"15","Alabama","Neil Callaway","Offensive Coordinator/Offensive Line Coach","White",2000,2000
"16","Alabama","Les Koenning","Offensive Coordinator/Quarterbacks Coach","White",2001,2002
"17","Alabama","David Rader","Offensive Coordinator/Quarterbacks Coach","White",2003,2006
"18","Alabama","Major Applewhite","Offensive Coordinator/Quarterbacks Coach","White",2007,2007
"19","Alabama","Jim McElwain","Offensive Coordinator/Quarterbacks Coach","White",2008,2011
"20","Alabama","Joe Pendry","Offensive Coordinator/Offensive Line Coach","White",2008,2008
"21","Alabama","Doug Nussmeier","Offensive Coordinator/Quarterbacks Coach","White",2012,2013
"22","Alabama","Lane Kiffin","Offensive Coordinator/Quarterbacks Coach","White",2014,2016
"23","Alabama","Brian Daboll","Offensive Coordinator/Quarterbacks Coach","White",2017,2017
"24","Alabama","Mike Locksley","Offensive Coordinator/Wide Receivers Coach","Black",2017,2018
"25","Alabama","Josh Gattis","Offensive Coordinator/Wide Receivers Coach","Black",2018,2018
"26","Alabama","Steve Sarkisian","Offensive Coordinator/Quarterbacks Coach","White",2019,2020
"27","Alabama","Bill O'Brien","Offensive Coordinator/Quarterbacks Coach","White",2021,2021
"28","Appalachian State","Dwayne Ledford","Offensive Coordinator/Offensive Line Coach","White",2014,2015
"29","Appalachian State","Frank Ponce","Offensive Coordinator/Quarterbacks Coach","White",2014,2021
"30","Appalachian State","Shawn Clark","Offensive Coordinator/Offensive Line Coach","White",2016,2018
"31","Appalachian State","Tony Petersen","Offensive Coordinator/Quarterbacks Coach","White",2020,2020
"32","Arizona","Dino Babers","Offensive Coordinator/Quarterbacks Coach","Black",2000,2000
"33","Arizona","Rick Dykes","Offensive Coordinator/Quarterbacks Coach","White",2001,2002
"34","Arizona","Mike Deal","Offensive Coordinator/Offensive Line Coach","?",2003,2003
"35","Arizona","Mike Canales","Offensive Coordinator/Quarterbacks Coach","White",2004,2006
"36","Arizona","Sonny Dykes","Offensive Coordinator/Quarterbacks Coach","White",2007,2009
"37","Arizona","Bill Bedenbaugh","Offensive Coordinator/Offensive Line Coach","White",2010,2010
"38","Arizona","Seth Littrell","Offensive Coordinator/Running Backs Coach/Tight Ends Coach","White",2010,2011
"39","Arizona","Calvin Magee","Offensive Coordinator/Running Backs Coach","Black",2012,2017
"40","Arizona","Rod Smith","Offensive Coordinator/Quarterbacks Coach","White",2012,2017
"41","Arizona","Noel Mazzone","Offensive Coordinator/Quarterbacks Coach","White",2018,2020
"42","Arizona","Brennan Carroll","Offensive Coordinator/Offensive Line Coach","White",2021,2021
"43","Arizona State","John Pettas","Offensive Coordinator/Quarterbacks Coach","White",2000,2000
"44","Arizona State","Roy Wittke","Offensive Coordinator/Quarterbacks Coach","White",2006,2006
"45","Arizona State","Rich Olson","Offensive Coordinator/Quarterbacks Coach","White",2007,2009
"46","Arizona State","Noel Mazzone","Offensive Coordinator/Quarterbacks Coach","White",2010,2011
"47","Arizona State","Mike Norvell","Offensive Coordinator/Quarterbacks Coach","White",2012,2015
"48","Arizona State","Chip Lindsey","Offensive Coordinator/Quarterbacks Coach","White",2016,2016
"49","Arizona State","Billy Napier","Offensive Coordinator/Quarterbacks Coach","White",2017,2017
"50","Arizona State","Rob Likens","Offensive Coordinator/Wide Receivers Coach","White",2017,2019
"51","Arizona State","Zak Hill","Offensive Coordinator/Quarterbacks Coach","White",2020,2021
"52","Arkansas","Gus Malzahn","Offensive Coordinator/Wide Receivers Coach","White",2006,2006
"53","Arkansas","David Lee","Offensive Coordinator/Quarterbacks Coach","White",2007,2007
"54","Arkansas","Paul Petrino","Offensive Coordinator/Wide Receivers Coach","White",2008,2012
"55","Arkansas","Garrick McGee","Offensive Coordinator/Quarterbacks Coach","Black",2010,2011
"56","Arkansas","Jim Chaney","Offensive Coordinator/Quarterbacks Coach","White",2013,2014
