Position,Race,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,Percent
Head,American Indian/Alaska Native,1,2,1,1,2,2,2,1,1,0,0.01
Head,Asian,0,1,1,1,1,0,0,0,0,0,0.00
Head,Black,45,44,39,38,38,39,38,38,40,40,0.16
Head,Hispanic/Latino,1,1,1,1,1,1,1,,2,5,0.01
Head,Native Hawaiian/Pacific Islander,1,1,1,1,2,2,2,2,2,2,0.01
Head,Two or More Races,0,0,1,1,1,2,1,1,1,2,0.00
Head,Unknown,1,2,1,0,4,3,2,3,1,2,0.01
Head,White,199,201,208,209,209,209,208,211,210,205,0.81
Head,TOTAL,248,252,253,252,258,258,254,256,257,256,1.00
DC,American Indian/Alaska Native,2,2,2,4,3,3,0,1,2,1,0.01
DC,Asian,1,1,1,1,0,0,0,0,0,0,0.00
DC,Black,48,55,51,51,67,59,62,63,57,65,0.21
DC,Hispanic/Latino,2,2,4,2,2,4,3,3,3,3,0.01
DC,Native Hawaiian/Pacific Islander,2,2,4,3,4,5,5,2,2,3,0.01
DC,International,1,1,0,0,0,0,0,0,0,0,0.00
DC,Two or More Races,1,2,0,0,1,0,2,4,3,4,0.01
DC,Unknown,3,2,3,0,4,6,3,7,5,6,0.01
DC,White,205,209,200,210,206,197,206,201,205,189,0.74
DC,TOTAL,263,274,263,267,284,271,281,280,275,270,1.00
OC,American Indian/Alaska Native,0,0,1,0,0,0,0,0,0,0,0.00
OC,Asian,0,0,1,1,0,0,0,1,0,0,0.00
OC,Black,33,45,27,32,28,33,38,42,40,29,0.13
OC,Hispanic/Latino,2,3,4,1,4,2,2,1,1,2,0.01
OC,Native Hawaiian/Pacific Islander,2,1,2,3,4,4,2,2,2,2,0.01
OC,Two or More Races,0,1,1,1,1,3,1,0,0,0,0.00
OC,Unknown,1,3,1,1,4,5,9,12,6,7,0.02
OC,White,226,225,228,226,249,233,235,228,224,223,0.83
OC,TOTAL,264,278,265,265,290,280,287,286,273,263,1.00
Assistant,American Indian/Alaska Native,4,1,2,1,2,2,2,3,1,1,0.00
Assistant,Asian,7,8,3,4,2,9,9,8,8,8,0.00
Assistant,Black,639,629,636,695,651,717,719,786,799,811,0.37
Assistant,Hispanic/Latino,19,19,12,21,24,20,26,18,22,24,0.01
Assistant,Native Hawaiian/Pacific Islander,19,19,26,29,23,28,24,39,33,35,0.01
Assistant,International,0,1,1,0,0,0,1,1,1,0,0.00
Assistant,Two or More Races,8,9,13,15,12,17,24,20,32,33,0.01
Assistant,Unknown,20,31,19,13,46,33,55,71,67,68,0.02
Assistant,White,"1,089","1,051","1,081","1,082","1,076","1,048","1,067","1,083","1,036","1,066",0.56
Assistant,TOTAL,"1,801","1,767","1,791","1,859","1,834","1,872","1,925","2,026","1,998","2,045",1.00
GA,American Indian/Alaska Native,0,0,0,0,1,2,2,2,1,1,0.00
GA,Asian,0,1,1,2,1,1,1,1,2,0,0.00
GA,Black,92,136,141,129,155,154,161,143,171,170,0.28
GA,Hispanic/Latino,6,9,10,13,7,7,6,13,9,10,0.02
GA,Native Hawaiian/Pacific Islander,6,5,8,11,11,16,7,4,5,14,0.02
GA,International,0,1,1,0,0,0,3,0,0,0,0.00
GA,Two or More Races,0,5,2,8,10,11,6,10,9,9,0.01
GA,Unknown,4,8,13,10,23,19,28,25,15,28,0.03
GA,White,226,331,330,343,333,350,344,382,362,334,0.64
GA,TOTAL,334,496,506,516,540,558,556,578,573,565,1.00
